,class,prob alternative,farness,colors,model perf,class perf,n labels
0,0,0.14313527612989202,0.22542617537522824,#fd7e14,0.9494,0.0,2
1,0,0.009500978718994468,0.11653968169541225,#fd7e14,0.9494,0.0,2
2,0,0.0018758899498208359,0.0,#fd7e14,0.9494,0.0,2
3,0,0.0617287652566739,0.20260601749913637,#fd7e14,0.9494,0.0,2
4,0,0.0043632542536075625,0.024435515656992302,#fd7e14,0.9494,0.0,2
5,0,0.023570727083720214,0.14763425043847664,#fd7e14,0.9494,0.0,2
6,0,0.010441941769707126,0.004385439418218841,#fd7e14,0.9494,0.0,2
7,0,0.1282223601490861,0.1913637342445904,#fd7e14,0.9494,0.0,2
8,0,0.0026544276859312944,0.017166650957185323,#fd7e14,0.9494,0.0,2
9,0,0.00865268698355352,0.005513134096792694,#fd7e14,0.9494,0.0,2
10,0,0.0038927539416057947,0.0,#fd7e14,0.9494,0.0,2
11,0,0.010168767471972076,0.04248875773113283,#fd7e14,0.9494,0.0,2
12,0,0.01784983927683261,0.002130065357715521,#fd7e14,0.9494,0.0,2
13,0,0.008785202563308175,0.0,#fd7e14,0.9494,0.0,2
14,0,0.0054328219432771595,0.0,#fd7e14,0.9494,0.0,2
15,0,0.002581627516291472,0.0,#fd7e14,0.9494,0.0,2
16,0,0.02712791138013384,0.036093621124221216,#fd7e14,0.9494,0.0,2
17,0,0.007666878833835028,0.0,#fd7e14,0.9494,0.0,2
18,0,0.004614222403021363,0.03208175652218473,#fd7e14,0.9494,0.0,2
19,0,0.0018106861119562012,0.0,#fd7e14,0.9494,0.0,2
20,0,0.017112322628638717,0.07738595363246621,#fd7e14,0.9494,0.0,2
21,0,0.0032448584221898753,0.0,#fd7e14,0.9494,0.0,2
22,0,0.007241772633432236,0.0206756211114874,#fd7e14,0.9494,0.0,2
23,0,0.10341606954535613,0.4013214361472776,#fd7e14,0.9494,0.0,2
24,0,0.002174377445586973,0.0,#fd7e14,0.9494,0.0,2
25,0,0.016281720558979702,0.04876018523230537,#fd7e14,0.9494,0.0,2
26,0,0.001937761429463998,0.0,#fd7e14,0.9494,0.0,2
27,0,0.025796835885200136,0.08442565098748364,#fd7e14,0.9494,0.0,2
28,0,0.004711502061377173,0.0,#fd7e14,0.9494,0.0,2
29,0,0.0024001597942569963,0.02656627250492693,#fd7e14,0.9494,0.0,2
30,0,0.010975910156122471,0.07876843771327538,#fd7e14,0.9494,0.0,2
31,0,0.0018443078515947848,0.0,#fd7e14,0.9494,0.0,2
32,0,0.0016090501457826552,0.0,#fd7e14,0.9494,0.0,2
33,0,0.006289695496580719,0.06093244722470428,#fd7e14,0.9494,0.0,2
34,0,0.007909460868702506,0.004510738525315873,#fd7e14,0.9494,0.0,2
35,0,0.022074198991390778,0.12133480153825066,#fd7e14,0.9494,0.0,2
36,0,0.010130949541067986,0.0023806617306578997,#fd7e14,0.9494,0.0,2
37,0,0.009264263290063494,0.0733650129826486,#fd7e14,0.9494,0.0,2
38,0,0.014188520333450905,0.02004900187175969,#fd7e14,0.9494,0.0,2
39,0,0.03512152449698033,0.05854753525910424,#fd7e14,0.9494,0.0,2
40,0,0.023984625313200673,0.07135499144345289,#fd7e14,0.9494,0.0,2
41,0,0.028969727511912707,0.24513507438178822,#fd7e14,0.9494,0.0,2
42,0,0.004417123486280698,0.007392641516163218,#fd7e14,0.9494,0.0,2
43,0,0.026613768243873966,0.1497879984717553,#fd7e14,0.9494,0.0,2
44,0,0.0041453676846809635,0.020800945925763398,#fd7e14,0.9494,0.0,2
45,0,0.0019692689175710883,0.005638433912074385,#fd7e14,0.9494,0.0,2
46,0,0.16815613205678862,0.5699443124169551,#fd7e14,0.9494,0.0,2
47,0,0.005191300018468863,0.0,#fd7e14,0.9494,0.0,2
48,0,0.15037386288195803,0.12348088371491754,#fd7e14,0.9494,0.0,2
49,0,0.0014056663990008734,0.0,#fd7e14,0.9494,0.0,2
50,0,0.012097118183575431,0.12777476485756786,#fd7e14,0.9494,0.0,2
51,0,0.009372295153017771,0.1217134810361613,#fd7e14,0.9494,0.0,2
52,0,0.011141295379819316,0.07914550484452312,#fd7e14,0.9494,0.0,2
53,0,0.027165041493089282,0.0741188470479562,#fd7e14,0.9494,0.0,2
54,0,0.0011703384706477152,0.0,#fd7e14,0.9494,0.0,2
55,0,0.0256949150196843,0.007768545921375999,#fd7e14,0.9494,0.0,2
56,0,0.004416295352450874,0.0,#fd7e14,0.9494,0.0,2
57,0,0.005345558508840766,0.0,#fd7e14,0.9494,0.0,2
58,0,0.05111319171475633,0.2843268269869612,#fd7e14,0.9494,0.0,2
59,0,0.004413556831813233,0.0,#fd7e14,0.9494,0.0,2
60,0,0.0041050799336575005,0.0,#fd7e14,0.9494,0.0,2
61,0,0.040679863579917507,0.12158725260025283,#fd7e14,0.9494,0.0,2
62,0,0.0018289399541786145,0.0,#fd7e14,0.9494,0.0,2
63,0,0.004158317852534921,0.0,#fd7e14,0.9494,0.0,2
64,0,0.005655807644704818,0.0,#fd7e14,0.9494,0.0,2
65,0,0.009591216013625907,0.009773389251285845,#fd7e14,0.9494,0.0,2
66,0,0.0046889487898359615,0.0,#fd7e14,0.9494,0.0,2
