,class,prob alternative,farness,colors,model perf,class perf,n labels
0,0,0.951177659296128,1.2516118954620643,#446e9b,0.5058,0.0,2
1,0,0.9513097176152687,1.5223017882641554,#446e9b,0.5058,0.0,2
2,0,0.9338390708270209,1.6204316629906308,#446e9b,0.5058,0.0,2
3,0,0.9209908858679066,1.4009649080386235,#446e9b,0.5058,0.0,2
4,0,0.9502248315364659,1.5558840155150016,#446e9b,0.5058,0.0,2
5,0,0.19536299974094556,1.3834623352729998,#fd7e14,0.5058,0.0,2
6,0,0.3063667771865781,1.053767105565459,#fd7e14,0.5058,0.0,2
7,0,0.1325434424788788,1.284078692025255,#fd7e14,0.5058,0.0,2
8,0,0.35776258484953577,1.2671187928534933,#fd7e14,0.5058,0.0,2
9,0,0.09241328757582784,0.8359913073682198,#fd7e14,0.5058,0.0,2
10,0,0.36505358191650605,1.1375716737788342,#fd7e14,0.5058,0.0,2
11,0,0.41926184883610196,1.488454201656445,#fd7e14,0.5058,0.0,2
12,0,0.9454891681468018,1.3099380167736046,#446e9b,0.5058,0.0,2
13,0,0.8378740821942134,1.5283168766553754,#446e9b,0.5058,0.0,2
14,0,0.6103191869080775,1.3052246094310047,#446e9b,0.5058,0.0,2
15,0,0.6209577197781124,1.304344067812706,#446e9b,0.5058,0.0,2
16,0,0.13861414024886026,1.0889095234227588,#fd7e14,0.5058,0.0,2
17,0,0.03042961031885909,1.117695344155563,#fd7e14,0.5058,0.0,2
18,0,0.9435591102429142,1.377937150749497,#446e9b,0.5058,0.0,2
19,0,0.17752648397542975,1.3465660215320145,#fd7e14,0.5058,0.0,2
20,0,0.9604573642530255,1.6734308934207471,#446e9b,0.5058,0.0,2
21,0,0.2586772288660529,1.234518837646282,#fd7e14,0.5058,0.0,2
22,0,0.9653222269775013,1.4151460072138704,#446e9b,0.5058,0.0,2
23,0,0.5251527023430194,1.036031681858942,#446e9b,0.5058,0.0,2
24,0,0.9570780099725693,1.6070709425038403,#446e9b,0.5058,0.0,2
25,0,0.8094493167997994,1.300248182018895,#446e9b,0.5058,0.0,2
26,0,0.9372444563788601,1.2668392063514897,#446e9b,0.5058,0.0,2
27,0,0.9170981523715046,1.2125356357132504,#446e9b,0.5058,0.0,2
28,0,0.9427333313459435,1.219885826469576,#446e9b,0.5058,0.0,2
29,0,0.43769684427590444,1.0993968196095105,#fd7e14,0.5058,0.0,2
30,0,0.47182165327497955,1.414464247154069,#fd7e14,0.5058,0.0,2
31,0,0.5163072423425551,1.3161688776606382,#446e9b,0.5058,0.0,2
32,0,0.21963370124632414,0.9114263139256782,#fd7e14,0.5058,0.0,2
33,0,0.579461763454221,1.4053241336386872,#446e9b,0.5058,0.0,2
34,0,0.9577603378070881,1.6633521517116678,#446e9b,0.5058,0.0,2
35,0,0.07107393303190004,0.8920464472663078,#fd7e14,0.5058,0.0,2
36,0,0.3775998526957135,1.7084962927020033,#fd7e14,0.5058,0.0,2
37,0,0.9568867010354639,1.3919952232836474,#446e9b,0.5058,0.0,2
38,0,0.906114611635853,1.434859225144069,#446e9b,0.5058,0.0,2
39,0,0.9473661986236033,1.3972970163541973,#446e9b,0.5058,0.0,2
40,0,0.8744479631788968,1.382810120496708,#446e9b,0.5058,0.0,2
41,0,0.9281074483691055,1.0383918620033272,#446e9b,0.5058,0.0,2
42,0,0.9407473436668387,1.222262433946387,#446e9b,0.5058,0.0,2
43,0,0.23748980928876,1.3090520364696863,#fd7e14,0.5058,0.0,2
44,0,0.9108320716348622,1.1186318287741375,#446e9b,0.5058,0.0,2
45,0,0.9662081731474153,1.5195134987872267,#446e9b,0.5058,0.0,2
46,0,0.8778336788585237,1.2999564525613247,#446e9b,0.5058,0.0,2
47,0,0.9108185824299471,1.4394341133667088,#446e9b,0.5058,0.0,2
48,0,0.9671256062806869,1.6020773216295419,#446e9b,0.5058,0.0,2
49,0,0.24481093036689533,1.058801538734491,#fd7e14,0.5058,0.0,2
50,0,0.9605737488343298,1.3263666583176352,#446e9b,0.5058,0.0,2
51,0,0.3073671031918844,1.151319285554011,#fd7e14,0.5058,0.0,2
52,0,0.949878035633785,1.532357863685772,#446e9b,0.5058,0.0,2
53,0,0.16737306810771296,1.180493323467947,#fd7e14,0.5058,0.0,2
54,0,0.896612414252275,0.9412535450779288,#446e9b,0.5058,0.0,2
55,0,0.970410524344306,1.582930257861417,#446e9b,0.5058,0.0,2
56,0,0.8960707884728478,1.232106266751961,#446e9b,0.5058,0.0,2
57,0,0.057672465496912365,0.8202784104079609,#fd7e14,0.5058,0.0,2
58,0,0.8759196476632601,0.9330893862640477,#446e9b,0.5058,0.0,2
59,0,0.8415480718573256,1.3447069694864715,#446e9b,0.5058,0.0,2
60,0,0.9404050240452205,1.1146585169242638,#446e9b,0.5058,0.0,2
61,0,0.13538998827295382,1.1759782125460183,#fd7e14,0.5058,0.0,2
62,0,0.9577553682337078,1.5742190099231892,#446e9b,0.5058,0.0,2
63,0,0.8648985426848679,1.2958838031486897,#446e9b,0.5058,0.0,2
64,0,0.010315358850689807,0.9753643786106339,#fd7e14,0.5058,0.0,2
65,0,0.9341743323988991,1.4801599614397212,#446e9b,0.5058,0.0,2
66,0,0.07026668719963072,0.8030345568457308,#fd7e14,0.5058,0.0,2
67,0,0.04399625765425567,0.8774064284906442,#fd7e14,0.5058,0.0,2
68,0,0.3264094693124587,1.1759782125460183,#fd7e14,0.5058,0.0,2
69,0,0.9533790067208221,1.549609491111974,#446e9b,0.5058,0.0,2
70,0,0.6239865811670522,1.2657218493452418,#446e9b,0.5058,0.0,2
71,0,0.26572024518789034,1.2243807848116042,#fd7e14,0.5058,0.0,2
72,0,0.9203207883392114,1.5669072579055652,#446e9b,0.5058,0.0,2
73,0,0.3462816974118154,0.9653326799270231,#fd7e14,0.5058,0.0,2
74,0,0.9329391659063097,1.1051474877267315,#446e9b,0.5058,0.0,2
75,0,0.882474571771622,1.1198038159257178,#446e9b,0.5058,0.0,2
76,0,0.908921670106054,1.504968005901193,#446e9b,0.5058,0.0,2
77,0,0.5059036494103404,1.2795200192509668,#446e9b,0.5058,0.0,2
78,0,0.29386262381930567,1.2042148349701396,#fd7e14,0.5058,0.0,2
79,0,0.058456098297633076,0.953816262787047,#fd7e14,0.5058,0.0,2
80,0,0.9634416171847182,1.4515438722336174,#446e9b,0.5058,0.0,2
81,0,0.529187726469875,1.3612924067178525,#446e9b,0.5058,0.0,2
82,0,0.03638324944635772,1.1452629788257696,#fd7e14,0.5058,0.0,2
83,0,0.08041126140482455,1.2190951533396839,#fd7e14,0.5058,0.0,2
84,0,0.3115662186766754,1.3698874933929572,#fd7e14,0.5058,0.0,2
85,0,0.0974630216255165,1.1320848474357645,#fd7e14,0.5058,0.0,2
86,0,0.96100404722749,1.6724153523407734,#446e9b,0.5058,0.0,2
87,0,0.9714277210211778,1.280941745751111,#446e9b,0.5058,0.0,2
88,0,0.6902135682422896,1.1165261150438495,#446e9b,0.5058,0.0,2
89,0,0.1950995910066882,0.8625885014142949,#fd7e14,0.5058,0.0,2
90,0,0.9750954249804934,1.6480562188500456,#446e9b,0.5058,0.0,2
91,0,0.9036822346026565,1.5092590429864106,#446e9b,0.5058,0.0,2
92,0,0.020446701895320833,1.320351340264148,#fd7e14,0.5058,0.0,2
93,0,0.9172631497261647,1.2404466903155065,#446e9b,0.5058,0.0,2
94,0,0.933812829432483,1.3363981815645214,#446e9b,0.5058,0.0,2
95,0,0.07680603122396211,1.3096425757752181,#fd7e14,0.5058,0.0,2
96,0,0.3737963727901882,1.2679581472323638,#fd7e14,0.5058,0.0,2
97,0,0.2127901403377806,1.3864046105086543,#fd7e14,0.5058,0.0,2
