,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,323.0,43.0,33.0,7.0,7.0,0.8663035071791251,0.6076790390760201,0.6076790390760202,0.9254893440187244,0.3484749775338531
model 1,385.0,50.0,39.0,8.0,8.0,0.8666397659638858,0.6087760261367241,0.6087760261367241,0.9256624289120555,0.35103079408937116
model 2,366.0,48.0,37.0,8.0,8.0,0.8663707589360773,0.6080784157638361,0.6080784157638361,0.9255179927929955,0.3492133252858709
best model,385.0,50.0,39.0,8.0,8.0,0.8646231567449482,0.6124032265169794,0.6124032265169793,0.9242754038263261,0.3585948661893676
