,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,270.0,37.0,28.0,6.0,6.0,0.9254850532970172,0.5749005040727807,0.5749005040727806,0.9607831678936886,0.30347919261014167
model 1,198.0,28.0,21.0,5.0,5.0,0.9259894414741585,0.5738574853805467,0.5738574853805467,0.9610684072121461,0.30755761262165165
model 2,201.0,28.0,21.0,5.0,5.0,0.9259894414741585,0.5740457086589422,0.5740457086589422,0.9610671441977852,0.30762869363772355
best model,201.0,28.0,21.0,5.0,5.0,0.9254505734571272,0.5683705671301066,0.5683705671301067,0.9608124596282207,0.29427641046190117
