,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,299.0,42.0,31.0,7.0,6.0,0.8971384377416861,0.7593231821406073,0.7593231821406076,0.9392912011097256,0.6304110855415183
model 1,323.0,45.0,33.0,7.0,7.0,0.8977773294327315,0.7608140738676918,0.7608140738676918,0.9396532507309113,0.633011145683625
model 2,190.0,27.0,20.0,5.0,4.0,0.8973401930125423,0.7541024504558068,0.7541024504558068,0.9396063999493839,0.63059141450661
best model,323.0,45.0,33.0,7.0,7.0,0.9034680502457674,0.7718683192900558,0.7718683192900557,0.9430160393326349,0.6522418249682966
