,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,130.0,20.0,14.0,4.0,3.0,0.9614311173879417,0.7332904869033006,0.7332904869033005,0.9796984354621653,0.6302711869766823
model 1,312.0,44.0,32.0,7.0,7.0,0.9610612327247049,0.7330917864038177,0.7330917864038177,0.9794993903665218,0.6267078747192524
model 2,234.0,34.0,24.0,6.0,5.0,0.9613974915094657,0.7356578605091834,0.7356578605091834,0.9796727983363819,0.6306827613730123
best model,234.0,34.0,24.0,6.0,5.0,0.96101856908793,0.741412361153539,0.741412361153539,0.979404869251578,0.6536845398480041
