,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,129.0,19.0,14.0,4.0,3.0,0.9162379367160968,0.9131789048522169,0.9131789048522169,0.9273997917925657,0.8286085060121845
model 1,190.0,28.0,20.0,5.0,4.0,0.9159689296882881,0.9131834963103908,0.9131834963103908,0.9270395200907449,0.8281556587246857
model 2,118.0,18.0,13.0,4.0,3.0,0.9150610309694341,0.9119316110789143,0.9119316110789143,0.9264004836418144,0.8261930263251944
best model,129.0,19.0,14.0,4.0,3.0,0.915619879847078,0.9121721807635532,0.9121721807635531,0.9276346604215456,0.8265766986433148
