,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,228.0,32.0,24.0,6.0,5.0,0.9920642926796462,0.965150618520005,0.965150618520005,0.9955462066875981,0.9599609403661221
model 1,210.0,30.0,22.0,5.0,5.0,0.9919970409226941,0.9647231444199362,0.9647231444199363,0.9955088240269099,0.9596195023952045
model 2,446.0,61.0,45.0,9.0,9.0,0.9920642926796464,0.9654101958777824,0.9654101958777824,0.9955458944070124,0.9599564522287473
best model,228.0,32.0,24.0,6.0,5.0,0.9921490988530858,0.9654447115384616,0.9654447115384616,0.9955909979680252,0.9605815265597888
