,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,130.0,19.0,14.0,4.0,3.0,0.9226604795050272,0.9195480006284527,0.9195480006284527,0.9338427884736356,0.8408468577037662
model 1,200.0,28.0,21.0,5.0,5.0,0.9224250983556944,0.9197846752877873,0.9197846752877873,0.9334767493241184,0.840470432846196
model 2,234.0,33.0,24.0,6.0,5.0,0.9227277312619792,0.9201575763347032,0.9201575763347032,0.9337166584990513,0.841104869570259
best model,234.0,33.0,24.0,6.0,5.0,0.921217913708356,0.9183987173490238,0.9183987173490239,0.9330704094652592,0.8373407065964329
