,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,234.0,32.0,24.0,6.0,5.0,0.9243081475503546,0.5428325944703295,0.5428325944703295,0.9603730424866287,0.23252870356430633
model 1,200.0,28.0,21.0,5.0,5.0,0.9244090251857829,0.5425022724881264,0.5425022724881264,0.9604307683436039,0.2333203170512256
model 2,210.0,29.0,22.0,5.0,5.0,0.9242745216718786,0.5428145883341776,0.5428145883341776,0.9603548550551105,0.23159376104169105
best model,200.0,28.0,21.0,5.0,5.0,0.9246996176952484,0.5327425776914585,0.5327425776914585,0.9606591290080965,0.20196498026317658
