,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,221.0,30.0,23.0,6.0,5.0,0.8960960355089277,0.8805569365057848,0.8805569365057848,0.8442694157689057,0.7665507491555587
model 1,249.0,34.0,26.0,6.0,5.0,0.8961969131443559,0.8810699633714142,0.8810699633714142,0.844691051365872,0.7669217056364034
model 2,234.0,32.0,24.0,6.0,5.0,0.8959615319950234,0.880552439124083,0.880552439124083,0.8441610467175974,0.7663001145550575
best model,249.0,34.0,26.0,6.0,5.0,0.9016247951938832,0.8869856849132298,0.8869856849132297,0.85276387044038,0.7790723891066073
