,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,233.0,31.0,24.0,6.0,5.0,0.9890379636167995,0.9828718312079934,0.9828718312079934,0.9920099183860932,0.9748714029827559
model 1,225.0,30.0,24.0,6.0,5.0,0.9890715894952756,0.9829244572473576,0.9829244572473576,0.9920342281614701,0.9749482478695009
model 2,210.0,28.0,22.0,5.0,5.0,0.9890715894952756,0.9829244572473576,0.9829244572473576,0.9920342281614701,0.9749482478695009
best model,225.0,30.0,24.0,6.0,5.0,0.9902375750955762,0.9850740266318718,0.9850740266318717,0.9928108189633502,0.9778468759048562
