,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,136.0,20.0,15.0,4.0,3.0,0.9598507010995663,0.7817367893126503,0.7817367893126503,0.9785872833260792,0.6713904628072765
model 1,198.0,28.0,21.0,5.0,5.0,0.9599852046134706,0.7811826921202575,0.7811826921202575,0.9786632094633724,0.6720310814501133
model 2,174.0,25.0,19.0,5.0,4.0,0.9600188304919466,0.7803652138480214,0.7803652138480216,0.9786843156001911,0.6720605254724922
best model,174.0,25.0,19.0,5.0,4.0,0.9618377935554342,0.7943821391048511,0.7943821391048511,0.9796097027174904,0.6956155895242883
