,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,129.0,21.0,14.0,4.0,3.0,0.9854399946198594,0.9351499718225886,0.9351499718225886,0.992015610605833,0.9109418209258117
model 1,225.0,35.0,24.0,6.0,5.0,0.9854399946198594,0.9351499718225886,0.9351499718225886,0.992015610605833,0.9109418209258117
model 2,130.0,21.0,14.0,4.0,3.0,0.9854063687413834,0.9349686152756173,0.9349686152756171,0.9919972915254226,0.910729523760151
best model,129.0,21.0,14.0,4.0,3.0,0.9860731840524304,0.9417081457747087,0.9417081457747087,0.9923669834617975,0.9137673435614698
