,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,294.0,41.0,30.0,7.0,6.0,0.948048017754464,0.7021958847186826,0.7021958847186826,0.9724545846910462,0.5513157523165151
model 1,201.0,29.0,21.0,5.0,5.0,0.9477790107266553,0.7026688648353027,0.7026688648353027,0.9723050125457905,0.5494280152127554
model 2,130.0,19.0,14.0,4.0,3.0,0.9480480177544638,0.7009620646062801,0.70096206460628,0.9724604173590014,0.5507190815047697
best model,294.0,41.0,30.0,7.0,6.0,0.946613872200983,0.6841759953408519,0.6841759953408519,0.971762836715534,0.5270697790581955
