,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,130.0,19.0,14.0,4.0,3.0,0.9337906452806081,0.536473901750452,0.536473901750452,0.9655764263006903,0.20686276979333065
model 1,464.0,63.0,47.0,9.0,9.0,0.9340932781868926,0.5389071967242955,0.5389071967242955,0.965727225526456,0.21570745352268636
model 2,385.0,53.0,39.0,8.0,8.0,0.9338578970375601,0.5371925862662602,0.5371925862662603,0.9656090074071318,0.2091770198358194
best model,464.0,63.0,47.0,9.0,9.0,0.9332332058984162,0.5337305575579461,0.5337305575579461,0.965289608177172,0.20413691901518932
