,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,210.0,30.0,22.0,5.0,5.0,0.9623390161067958,0.7650159529310535,0.7650159529310535,0.980084260077965,0.65299094954144
model 1,130.0,19.0,14.0,4.0,3.0,0.9622045125928914,0.7649439197958112,0.7649439197958112,0.9800113176300927,0.6519712385817873
model 2,136.0,20.0,15.0,4.0,3.0,0.9617337502942265,0.7623389585957261,0.7623389585957261,0.9797647141641898,0.6469948897044137
best model,210.0,30.0,22.0,5.0,5.0,0.9629300928454396,0.7644176299547605,0.7644176299547605,0.9804218496484586,0.6505797661998363
