,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,158.0,24.0,17.0,5.0,4.0,0.9323783583846129,0.5739893469180507,0.5739893469180507,0.9645882104313896,0.3121906667325994
model 1,198.0,30.0,21.0,5.0,5.0,0.9321093513568042,0.5752933845215541,0.5752933845215541,0.96443375027369,0.3103182245252976
model 2,130.0,20.0,14.0,4.0,3.0,0.932042099599852,0.5709088708243838,0.5709088708243837,0.9644234200545635,0.3049690395304229
best model,158.0,24.0,17.0,5.0,4.0,0.9363052976515566,0.5697148876507594,0.5697148876507594,0.966765219249813,0.2856722550165939
