,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,228.0,31.0,24.0,6.0,5.0,0.9503682033693129,0.6994050041473794,0.6994050041473794,0.973822597372444,0.5211258415924395
model 1,221.0,30.0,23.0,6.0,5.0,0.9502336998554087,0.6995663201055639,0.6995663201055639,0.9737490201189506,0.5201014859280187
model 2,299.0,40.0,31.0,7.0,6.0,0.949931066949124,0.7003469296506663,0.7003469296506663,0.9735815728750078,0.5183146048864887
best model,228.0,31.0,24.0,6.0,5.0,0.9488667394866194,0.6911452666400373,0.6911452666400373,0.9730371863637999,0.5048079378788728
