,0,1,2,3,4,5,6,7,8,9,10,11,12,13
69,0,1.0,,,,,,,,,,,,
36,2,3.0,244.0,,,,,,,,,,,
45,4,11.0,220.0,,,,,,,,,,,
44,5,176.0,217.0,,,,,,,,,,,
66,6,13.0,161.0,184.0,192.0,196.0,210.0,221.0,,,,,,
59,7,177.0,178.0,,,,,,,,,,,
37,8,9.0,,,,,,,,,,,,
39,10,158.0,223.0,,,,,,,,,,,
55,12,92.0,242.0,243.0,,,,,,,,,,
5,14,15.0,16.0,,,,,,,,,,,
2,17,18.0,19.0,20.0,21.0,,,,,,,,,
4,22,23.0,24.0,25.0,26.0,27.0,28.0,42.0,43.0,44.0,68.0,,,
3,29,38.0,39.0,,,,,,,,,,,
1,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
28,40,52.0,67.0,99.0,100.0,,,,,,,,,
13,41,59.0,,,,,,,,,,,,
6,45,46.0,132.0,133.0,,,,,,,,,,
23,47,129.0,130.0,,,,,,,,,,,
15,48,49.0,50.0,51.0,,,,,,,,,,
16,53,143.0,,,,,,,,,,,,
17,54,55.0,56.0,57.0,58.0,96.0,97.0,98.0,,,,,,
12,60,62.0,,,,,,,,,,,,
14,61,131.0,155.0,211.0,212.0,241.0,,,,,,,,
48,63,64.0,,,,,,,,,,,,
11,65,66.0,183.0,,,,,,,,,,,
57,69,70.0,71.0,,,,,,,,,,,
58,72,73.0,74.0,,,,,,,,,,,
34,75,81.0,82.0,83.0,84.0,85.0,88.0,,,,,,,
33,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,
50,86,,,,,,,,,,,,,
49,87,147.0,226.0,,,,,,,,,,,
52,89,190.0,,,,,,,,,,,,
35,90,91.0,94.0,95.0,,,,,,,,,,
10,101,119.0,121.0,122.0,123.0,124.0,125.0,,,,,,,
27,102,103.0,104.0,107.0,,,,,,,,,,
7,105,106.0,,,,,,,,,,,,
18,108,109.0,112.0,113.0,114.0,115.0,,,,,,,,
26,110,111.0,,,,,,,,,,,,
9,116,117.0,118.0,120.0,,,,,,,,,,
8,126,127.0,128.0,149.0,,,,,,,,,,
25,134,135.0,136.0,,,,,,,,,,,
19,137,140.0,141.0,142.0,,,,,,,,,,
22,138,139.0,,,,,,,,,,,,
21,144,145.0,146.0,,,,,,,,,,,
20,148,150.0,151.0,,,,,,,,,,,
24,152,153.0,156.0,,,,,,,,,,,
65,154,179.0,193.0,194.0,195.0,,,,,,,,,
63,157,159.0,162.0,,,,,,,,,,,
70,160,163.0,165.0,174.0,,,,,,,,,,
64,164,166.0,167.0,170.0,171.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
67,168,169.0,,,,,,,,,,,,
68,172,173.0,175.0,180.0,,,,,,,,,,
42,181,208.0,218.0,,,,,,,,,,,
41,182,219.0,,,,,,,,,,,,
47,185,222.0,,,,,,,,,,,,
38,186,191.0,,,,,,,,,,,,
46,187,224.0,,,,,,,,,,,,
51,188,228.0,,,,,,,,,,,,
43,189,227.0,,,,,,,,,,,,
54,197,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,,
53,198,199.0,209.0,,,,,,,,,,,
60,233,234.0,237.0,238.0,,,,,,,,,,
62,235,236.0,,,,,,,,,,,,
61,239,240.0,,,,,,,,,,,,
29,245,247.0,252.0,255.0,256.0,262.0,263.0,,,,,,,
32,246,248.0,257.0,,,,,,,,,,,
31,249,251.0,253.0,258.0,260.0,261.0,264.0,,,,,,,
30,250,254.0,259.0,265.0,,,,,,,,,,
40,266,269.0,,,,,,,,,,,,
56,267,268.0,270.0,271.0,,,,,,,,,,
