,0,1,2,3,4,5,6,7,8,9,10,11,12,13
37,0,1,,,,,,,,,,,,
36,2,3,,,,,,,,,,,,
70,4,6,158.0,161.0,163.0,185.0,221.0,,,,,,,
76,5,13,60.0,,,,,,,,,,,
7,7,178,179.0,,,,,,,,,,,
35,8,9,,,,,,,,,,,,
48,10,217,,,,,,,,,,,,
39,11,65,66.0,,,,,,,,,,,
12,12,70,92.0,242.0,243.0,,,,,,,,,
9,14,15,16.0,,,,,,,,,,,
8,17,18,19.0,20.0,21.0,,,,,,,,,
63,22,23,42.0,68.0,133.0,,,,,,,,,
62,24,27,28.0,,,,,,,,,,,
53,25,26,52.0,96.0,,,,,,,,,,
6,29,67,209.0,,,,,,,,,,,
4,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
5,38,39,40.0,,,,,,,,,,,
66,41,59,,,,,,,,,,,,
64,43,44,,,,,,,,,,,,
65,45,46,,,,,,,,,,,,
58,47,130,131.0,,,,,,,,,,,
3,48,49,50.0,51.0,,,,,,,,,,
1,53,54,55.0,,,,,,,,,,,
2,56,57,58.0,,,,,,,,,,,
10,61,64,132.0,156.0,211.0,212.0,241.0,,,,,,,
46,62,63,177.0,,,,,,,,,,,
11,69,71,72.0,73.0,74.0,,,,,,,,,
16,75,81,82.0,85.0,88.0,,,,,,,,,
15,76,77,78.0,79.0,80.0,93.0,,,,,,,,
49,83,86,110.0,218.0,,,,,,,,,,
40,84,184,220.0,,,,,,,,,,,
47,87,148,226.0,,,,,,,,,,,
51,89,191,,,,,,,,,,,,
14,90,91,94.0,95.0,,,,,,,,,,
59,97,98,,,,,,,,,,,,
28,99,100,101.0,,,,,,,,,,,
24,102,103,104.0,105.0,108.0,,,,,,,,,
23,106,107,,,,,,,,,,,,
61,109,113,114.0,115.0,116.0,,,,,,,,,
26,111,112,,,,,,,,,,,,
27,117,118,120.0,121.0,,,,,,,,,,
55,119,134,136.0,144.0,,,,,,,,,,
25,122,123,124.0,125.0,126.0,,,,,,,,,
29,127,128,129.0,139.0,,,,,,,,,,
67,135,137,,,,,,,,,,,,
57,138,140,141.0,,,,,,,,,,,
54,142,143,,,,,,,,,,,,
60,145,146,147.0,,,,,,,,,,,
56,149,150,151.0,152.0,,,,,,,,,,
52,153,154,157.0,244.0,,,,,,,,,,
69,155,180,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,
34,159,160,,,,,,,,,,,,
75,162,169,181.0,,,,,,,,,,,
73,164,166,175.0,176.0,,,,,,,,,,
68,165,167,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
74,170,173,174.0,,,,,,,,,,,
41,182,208,,,,,,,,,,,,
42,183,219,,,,,,,,,,,,
45,186,222,,,,,,,,,,,,
33,187,192,223.0,,,,,,,,,,,
44,188,224,,,,,,,,,,,,
50,189,228,,,,,,,,,,,,
43,190,227,,,,,,,,,,,,
71,198,200,201.0,202.0,203.0,,,,,,,,,
72,199,204,205.0,206.0,207.0,,,,,,,,,
30,233,234,237.0,238.0,,,,,,,,,,
32,235,236,,,,,,,,,,,,
31,239,240,,,,,,,,,,,,
20,245,255,262.0,,,,,,,,,,,
18,246,248,257.0,261.0,,,,,,,,,,
21,247,252,256.0,263.0,,,,,,,,,,
17,249,253,258.0,264.0,,,,,,,,,,
19,250,254,259.0,265.0,,,,,,,,,,
22,251,260,,,,,,,,,,,,
38,266,269,,,,,,,,,,,,
13,267,268,270.0,271.0,,,,,,,,,,
