,0,1,2,3,4,5,6,7,8,9
68,0,1,157.0,159.0,,,,,,
59,2,3,,,,,,,,
15,4,29,209.0,,,,,,,
46,5,176,217.0,,,,,,,
76,6,161,162.0,175.0,184.0,192.0,196.0,210.0,221.0,
11,7,13,155.0,211.0,212.0,241.0,,,,
36,8,9,,,,,,,,
47,10,231,,,,,,,,
51,11,220,,,,,,,,
26,12,91,242.0,243.0,,,,,,
3,14,15,,,,,,,,
65,16,23,25.0,52.0,,,,,,
49,17,82,,,,,,,,
13,18,19,20.0,21.0,,,,,,
2,22,24,26.0,27.0,28.0,,,,,
12,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,
14,38,39,,,,,,,,
18,40,137,140.0,,,,,,,
63,41,59,,,,,,,,
4,42,45,46.0,132.0,133.0,,,,,
64,43,44,,,,,,,,
57,47,129,130.0,,,,,,,
20,48,49,50.0,51.0,,,,,,
22,53,54,55.0,,,,,,,
23,56,57,58.0,,,,,,,
21,60,61,,,,,,,,
48,62,128,,,,,,,,
45,63,64,,,,,,,,
9,65,66,183.0,,,,,,,
66,67,98,99.0,,,,,,,
6,68,156,,,,,,,,
24,69,70,71.0,72.0,73.0,,,,,
31,74,80,81.0,83.0,84.0,87.0,,,,
30,75,76,77.0,78.0,79.0,92.0,,,,
52,85,147,,,,,,,,
50,86,226,,,,,,,,
54,88,190,,,,,,,,
29,89,90,93.0,94.0,,,,,,
5,95,97,,,,,,,,
17,96,143,,,,,,,,
19,100,111,116.0,117.0,118.0,120.0,121.0,127.0,,
7,101,102,,,,,,,,
61,103,104,105.0,106.0,107.0,,,,,
1,108,112,113.0,114.0,115.0,,,,,
8,109,110,126.0,131.0,145.0,,,,,
60,119,122,123.0,124.0,125.0,,,,,
62,134,135,136.0,,,,,,,
56,138,139,,,,,,,,
16,141,142,144.0,146.0,,,,,,
55,148,149,150.0,151.0,,,,,,
27,152,153,244.0,,,,,,,
75,154,179,193.0,194.0,195.0,,,,,
37,158,186,191.0,223.0,,,,,,
67,160,163,165.0,174.0,,,,,,
72,164,166,170.0,213.0,216.0,225.0,229.0,230.0,232.0,
69,167,171,172.0,173.0,,,,,,
70,168,169,,,,,,,,
10,177,178,,,,,,,,
28,180,197,198.0,199.0,200.0,201.0,202.0,203.0,205.0,207.0
40,181,208,218.0,,,,,,,
39,182,219,,,,,,,,
44,185,222,,,,,,,,
42,187,224,,,,,,,,
53,188,228,,,,,,,,
41,189,227,,,,,,,,
38,204,206,,,,,,,,
71,214,215,,,,,,,,
73,233,234,236.0,237.0,238.0,,,,,
74,235,239,240.0,,,,,,,
35,245,247,252.0,255.0,256.0,263.0,,,,
43,246,262,,,,,,,,
32,248,257,261.0,,,,,,,
33,249,251,253.0,258.0,260.0,264.0,,,,
34,250,254,259.0,265.0,,,,,,
58,266,269,,,,,,,,
25,267,268,270.0,271.0,,,,,,
