,class,prob alternative,farness,colors,model perf,class perf,n labels
0,0,0.9716254959851189,1.464968671579908,#446e9b,0.2207,0.0,2
1,0,0.8914008260289735,1.3230523097321263,#446e9b,0.2207,0.0,2
2,0,0.9416247013792448,1.6935882927296095,#446e9b,0.2207,0.0,2
3,0,0.9762604483707228,1.675467168896221,#446e9b,0.2207,0.0,2
4,0,0.574704799678426,1.3708487683698907,#446e9b,0.2207,0.0,2
5,0,0.2638702723551365,1.2278348707951423,#fd7e14,0.2207,0.0,2
6,0,0.7520414180516727,1.321550580956351,#446e9b,0.2207,0.0,2
7,0,0.8333541098656955,1.4968521223539857,#446e9b,0.2207,0.0,2
8,0,0.5835342574415348,1.1807448691387221,#446e9b,0.2207,0.0,2
9,0,0.9389804413740761,1.3233530137589937,#446e9b,0.2207,0.0,2
10,0,0.8294425682624647,1.379233408614599,#446e9b,0.2207,0.0,2
11,0,0.9547674341980374,1.7585929230757475,#446e9b,0.2207,0.0,2
12,0,0.8650386423853664,1.7463732572655213,#446e9b,0.2207,0.0,2
13,0,0.7004366639324113,1.055296493112812,#446e9b,0.2207,0.0,2
14,0,0.9512550035704134,1.3149781082175762,#446e9b,0.2207,0.0,2
15,0,0.9369889718172322,1.6883540963457673,#446e9b,0.2207,0.0,2
16,0,0.9682008903705623,1.5558840155150016,#446e9b,0.2207,0.0,2
17,0,0.5946232903205284,1.361608952478735,#446e9b,0.2207,0.0,2
18,0,0.9227239288208673,1.4189074990795967,#446e9b,0.2207,0.0,2
19,0,0.7961925104221159,1.2088849852447416,#446e9b,0.2207,0.0,2
20,0,0.6169091692950694,1.4264913063949838,#446e9b,0.2207,0.0,2
21,0,0.4355473863547468,1.3284833983255928,#fd7e14,0.2207,0.0,2
22,0,0.9045887031222298,1.326970834587426,#446e9b,0.2207,0.0,2
23,0,0.8113250294842215,1.1088471765107903,#446e9b,0.2207,0.0,2
24,0,0.8856231539405889,1.1268682812906243,#446e9b,0.2207,0.0,2
25,0,0.9338549406495783,1.281511161952154,#446e9b,0.2207,0.0,2
26,0,0.906703904101195,1.429617550892281,#446e9b,0.2207,0.0,2
27,0,0.7937471840956646,1.4565926792689166,#446e9b,0.2207,0.0,2
28,0,0.2342099279582844,1.4930218298091393,#fd7e14,0.2207,0.0,2
29,0,0.9371753396237242,1.6326611678984078,#446e9b,0.2207,0.0,2
30,0,0.7303052657627587,1.019669352569159,#446e9b,0.2207,0.0,2
31,0,0.8265140798993709,1.5120042384700214,#446e9b,0.2207,0.0,2
32,0,0.6931198851064653,1.4635045912580193,#446e9b,0.2207,0.0,2
33,0,0.8222874535949404,1.4786628136263953,#446e9b,0.2207,0.0,2
34,0,0.7791192087467643,1.3158710103603855,#446e9b,0.2207,0.0,2
35,0,0.9439367992062494,1.3534226907450193,#446e9b,0.2207,0.0,2
36,0,0.6737640804638734,1.1682578972342836,#446e9b,0.2207,0.0,2
37,0,0.8821381809936046,1.4161698822830768,#446e9b,0.2207,0.0,2
38,0,0.6844419157603605,1.5789953641193282,#446e9b,0.2207,0.0,2
39,0,0.8865322630205068,1.562220399548689,#446e9b,0.2207,0.0,2
40,0,0.6727289564003279,1.165040980959611,#446e9b,0.2207,0.0,2
41,0,0.9530810863346705,1.7627251121410137,#446e9b,0.2207,0.0,2
42,0,0.800523076423218,1.476423286995343,#446e9b,0.2207,0.0,2
43,0,0.9836598956281201,1.5957790265582747,#446e9b,0.2207,0.0,2
44,0,0.9629697065294235,1.5720597620521974,#446e9b,0.2207,0.0,2
45,0,0.3710309475720788,1.3612924067178525,#fd7e14,0.2207,0.0,2
46,0,0.9195351099034815,1.408357774492957,#446e9b,0.2207,0.0,2
47,0,0.8103367478542846,1.4107262649979042,#446e9b,0.2207,0.0,2
48,0,0.9112215259169896,1.4941686168218435,#446e9b,0.2207,0.0,2
49,0,0.8939395907374734,1.2447853877339978,#446e9b,0.2207,0.0,2
50,0,0.9585235582055741,1.6456249385284014,#446e9b,0.2207,0.0,2
51,0,0.9413841247133712,1.6920131627256287,#446e9b,0.2207,0.0,2
52,0,0.9758048261865108,1.4519032752990813,#446e9b,0.2207,0.0,2
53,0,0.4968816672218994,0.9645343383527262,#fd7e14,0.2207,0.0,2
54,0,0.858623740212344,1.4741911409471733,#446e9b,0.2207,0.0,2
55,0,0.9800677471794415,1.5343877754896387,#446e9b,0.2207,0.0,2
56,0,0.783977545619,1.3140862532437343,#446e9b,0.2207,0.0,2
57,0,0.9834940338661669,1.2347873449105753,#446e9b,0.2207,0.0,2
58,0,0.8604766845919122,1.4120832489331754,#446e9b,0.2207,0.0,2
59,0,0.888281514713106,1.362876501956121,#446e9b,0.2207,0.0,2
60,0,0.9114321636109968,1.6232323564024416,#446e9b,0.2207,0.0,2
61,0,0.6506980035138775,1.3052246094310047,#446e9b,0.2207,0.0,2
62,0,0.7490696835661519,1.3149781082175762,#446e9b,0.2207,0.0,2
63,0,0.8943995872756947,1.6020773216295419,#446e9b,0.2207,0.0,2
64,0,0.9710589588719966,1.6805884793860093,#446e9b,0.2207,0.0,2
65,0,0.9173375460636091,1.4835407290727018,#446e9b,0.2207,0.0,2
66,0,0.5304718061123855,1.1647940249466011,#446e9b,0.2207,0.0,2
67,0,0.5743182174603366,1.342543932531821,#446e9b,0.2207,0.0,2
68,0,0.7715611674641782,1.429617550892281,#446e9b,0.2207,0.0,2
69,0,0.5414983426884598,1.4760507517304458,#446e9b,0.2207,0.0,2
70,0,0.60841594314832,1.0803355846669105,#446e9b,0.2207,0.0,2
71,0,0.9102086014207614,1.5275116675529035,#446e9b,0.2207,0.0,2
72,0,0.8904623891727501,1.5886576314719998,#446e9b,0.2207,0.0,2
