,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,130.0,19.0,14.0,4.0,3.0,0.9970072968156293,0.9782093086867641,0.9782093086867641,0.9983960230902426,0.9763884738979237
model 1,77.0,12.0,9.0,3.0,2.0,0.9969064191802012,0.977474014569117,0.977474014569117,0.998341999314988,0.9755887515268417
model 2,129.0,19.0,14.0,4.0,3.0,0.9971418003295337,0.9791897008436269,0.9791897008436269,0.9984680483325508,0.9774553489242547
best model,129.0,19.0,14.0,4.0,3.0,0.997200983069361,0.9798228346456692,0.9798228346456692,0.9984984435085149,0.9781452171365101
