,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,198.0,28.0,21.0,5.0,5.0,0.9587074212313796,0.9545827807974376,0.9545827807974376,0.9646209789831471,0.9160065358835974
model 1,210.0,29.0,22.0,5.0,5.0,0.9589428023807122,0.9548583104700757,0.9548583104700756,0.9648169192923248,0.9164814828238802
model 2,228.0,32.0,24.0,6.0,5.0,0.9590773058946165,0.9551253686938178,0.9551253686938178,0.9649043776853986,0.9167037923491668
best model,228.0,32.0,24.0,6.0,5.0,0.95999453850355,0.95611255309081,0.9561125530908099,0.9659737545000581,0.9180724505380057
