,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,205.0,28.0,22.0,5.0,5.0,0.9604895927906116,0.9560076082757442,0.9560076082757442,0.9666122750824084,0.9190967232567756
model 1,228.0,31.0,24.0,6.0,5.0,0.9600524563704226,0.9556204566905665,0.9556204566905664,0.9662313999895935,0.9181701484529651
model 2,233.0,32.0,24.0,6.0,5.0,0.9606913480614682,0.9563274167271452,0.9563274167271452,0.9667646350848805,0.9194845196030164
best model,233.0,32.0,24.0,6.0,5.0,0.962588749317313,0.9580931953026909,0.9580931953026909,0.9686570578814916,0.9229573374866158
