,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,136.0,22.0,15.0,4.0,3.0,0.9992266047950503,0.9955887993862677,0.9955887993862677,0.9995763265022254,0.9951572859256839
model 1,100.0,17.0,11.0,4.0,3.0,0.9992938565520024,0.9959723820483314,0.9959723820483314,0.9996131548399192,0.9955789395350717
model 2,129.0,21.0,14.0,4.0,3.0,0.9991593530380981,0.9952052167242041,0.9952052167242039,0.99953950630429,0.9947352821888371
best model,100.0,17.0,11.0,4.0,3.0,0.9993173129437466,0.9960876369327074,0.9960876369327073,0.9996261682242991,0.9957076567880216
