,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,200.0,30.0,21.0,5.0,5.0,0.9904166246343186,0.9522212003020755,0.9522212003020755,0.9947421478729637,0.9418761704629891
model 1,190.0,29.0,20.0,5.0,4.0,0.990551128148223,0.9527838008154229,0.952783800815423,0.9948157592971012,0.9427094836544931
model 2,205.0,31.0,22.0,5.0,5.0,0.9904838763912708,0.9524210877214802,0.9524210877214802,0.9947791247013159,0.9422907758745528
best model,190.0,29.0,20.0,5.0,4.0,0.991398143091207,0.955438521665715,0.9554385216657151,0.9952879581151832,0.9470546508116475
