,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,190.0,31.0,20.0,5.0,4.0,0.9921315444365985,0.9623297409687769,0.9623297409687767,0.9957165968580378,0.9478752454530127
model 1,190.0,31.0,20.0,5.0,4.0,0.9918625374087898,0.9612713999137972,0.9612713999137973,0.9955703139365277,0.9460720669795607
model 2,130.0,22.0,14.0,4.0,3.0,0.9917280338948856,0.9580972527210031,0.9580972527210031,0.9954996131044732,0.9450831944869608
best model,190.0,31.0,20.0,5.0,4.0,0.9929000546149646,0.9634666266250506,0.9634666266250504,0.9961332540154669,0.9533416362991208
