,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,361.0,53.0,37.0,8.0,7.0,0.9936110830895456,0.9752667187093417,0.9752667187093417,0.9963454942001846,0.9713909801822158
model 1,130.0,20.0,14.0,4.0,3.0,0.9937455866034499,0.9757874503968255,0.9757874503968255,0.9964219356462896,0.9720012258201017
model 2,174.0,27.0,19.0,5.0,4.0,0.9937119607249739,0.9756569371259433,0.9756569371259433,0.9964028042417391,0.9718487863848614
best model,130.0,20.0,14.0,4.0,3.0,0.9938558164937192,0.9770759042282221,0.9770759042282221,0.9964650432050276,0.9733600565205791
