,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,225.0,36.0,24.0,6.0,5.0,0.995527758162682,0.9766174402250352,0.9766174402250352,0.9975335392320778,0.9739316154074983
model 1,129.0,21.0,14.0,4.0,3.0,0.9959648945828711,0.9789029535864978,0.9789029535864978,0.9977741853145171,0.9764952264608185
model 2,130.0,21.0,14.0,4.0,3.0,0.9959985204613471,0.9790787623066105,0.9790787623066105,0.9977926924290886,0.9766925776671324
best model,130.0,21.0,14.0,4.0,3.0,0.9961769524849808,0.980225988700565,0.980225988700565,0.9978883861236802,0.9779592614474564
