,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,130.0,19.0,14.0,4.0,3.0,0.9631124113117456,0.9633579543059255,0.9633579543059255,0.9581304143296898,0.9252520366928323
model 1,190.0,27.0,20.0,5.0,4.0,0.9635831736104107,0.9635530654086916,0.9635530654086915,0.958560146973296,0.9261198447289086
model 2,174.0,25.0,19.0,5.0,4.0,0.9637176771243148,0.9636468160661041,0.9636468160661041,0.9586972101452241,0.9263807188952109
best model,174.0,25.0,19.0,5.0,4.0,0.963407973784817,0.9632465590148875,0.9632465590148874,0.9579607843137254,0.9255933011913908
