,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,130.0,21.0,14.0,4.0,3.0,0.9969736709371532,0.9797297297297297,0.9797297297297297,0.9983674535252393,0.9779209842370035
model 1,97.0,16.0,11.0,4.0,3.0,0.996839167423249,0.9788288288288288,0.9788288288288288,0.9982950175116114,0.9769316364819138
model 2,136.0,22.0,15.0,4.0,3.0,0.9969400450586772,0.9795045045045044,0.9795045045045044,0.9983493504336091,0.977673244428725
best model,130.0,21.0,14.0,4.0,3.0,0.996586564718733,0.9749498997995991,0.9749498997995991,0.9981718464351006,0.97284788739526
