,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,68.0,11.0,8.0,3.0,2.0,0.9996973670937153,0.9993077988001845,0.9993077988001846,0.9998063974867527,0.9991140899553775
model 1,68.0,11.0,8.0,3.0,2.0,0.9997309929721915,0.9993847100446085,0.9993847100446086,0.9998279125795904,0.9992125195087219
model 2,45.0,8.0,6.0,3.0,2.0,0.9997309929721915,0.9993847100446085,0.9993847100446085,0.999827904249555,0.9992125305379499
best model,45.0,8.0,6.0,3.0,2.0,0.9997269251774986,0.9993746091307067,0.9993746091307067,0.9998253580160671,0.9991998959588947
