,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,130.0,21.0,14.0,4.0,3.0,0.9933757019402131,0.9883994833877402,0.9883994833877402,0.995391124735149,0.9837495218322932
model 1,129.0,20.0,14.0,4.0,3.0,0.9933420760617371,0.9883404026834982,0.9883404026834982,0.9953678298215727,0.9836671020900968
model 2,136.0,22.0,15.0,4.0,3.0,0.9933757019402133,0.9883995043234964,0.9883995043234964,0.9953911280202851,0.9837495445912854
best model,136.0,22.0,15.0,4.0,3.0,0.9931048607318406,0.9878547378547379,0.9878547378547379,0.9952089559318819,0.9830588593811084
