,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,68.0,11.0,8.0,3.0,2.0,0.9992938565520024,0.994736842105263,0.994736842105263,0.999621708277056,0.9943445748177128
model 1,68.0,11.0,8.0,3.0,2.0,0.9992266047950503,0.994235588972431,0.994235588972431,0.9995856994993245,0.9938043932816374
model 2,88.0,14.0,10.0,3.0,3.0,0.9992938565520024,0.994736842105263,0.9947368421052633,0.9996217141147395,0.9943440885264048
best model,68.0,11.0,8.0,3.0,2.0,0.9996586564718732,0.9975822050290135,0.9975822050290135,0.9998163992215328,0.9973961355536803
