,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,174.0,26.0,19.0,5.0,4.0,0.9585392918389992,0.9551401001292149,0.9551401001292149,0.9480276308745516,0.9137231774478102
model 1,198.0,29.0,21.0,5.0,5.0,0.9588755506237602,0.9553273984677636,0.9553273984677636,0.9483934614168811,0.9144313594895698
model 2,234.0,34.0,24.0,6.0,5.0,0.9579004001479539,0.9546316605889249,0.9546316605889249,0.9472751900619508,0.9123934878607152
best model,198.0,29.0,21.0,5.0,5.0,0.9605406881485528,0.9564320664678045,0.9564320664678045,0.949800243182213,0.9175719410616258
