,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,205.0,29.0,22.0,5.0,5.0,0.9587410471098557,0.9547618522637067,0.9547618522637067,0.9646192654791442,0.9160198220354392
model 1,198.0,28.0,21.0,5.0,5.0,0.958808298866808,0.9546808437290312,0.9546808437290312,0.9647073687607554,0.9162161034190599
model 2,249.0,34.0,26.0,6.0,5.0,0.9587074212313796,0.954892181634119,0.954892181634119,0.96455736509476,0.9158888104643289
best model,198.0,28.0,21.0,5.0,5.0,0.9605406881485528,0.9566948474122721,0.9566948474122722,0.9664343786295005,0.9191941274539853
