,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,129.0,19.0,14.0,4.0,3.0,0.9993611083089546,0.9951246493619376,0.9951246493619376,0.9996582963438146,0.9947706203520091
model 1,68.0,11.0,8.0,3.0,2.0,0.9993611083089546,0.9951238591916557,0.9951238591916557,0.9996582808210311,0.9947715242912145
model 2,97.0,15.0,11.0,4.0,3.0,0.9994283600659067,0.9956374698747581,0.9956374698747581,0.9996942468675108,0.9953224613634024
best model,97.0,15.0,11.0,4.0,3.0,0.9997269251774986,0.9980563654033041,0.9980563654033041,0.9998531679025034,0.9979079371910022
