,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,270.0,35.0,28.0,6.0,6.0,0.9592118094085208,0.9540380356561773,0.9540380356561774,0.9656201833663342,0.9167262699105132
model 1,234.0,31.0,24.0,6.0,5.0,0.9593799388009012,0.9540261920461157,0.9540261920461157,0.9657942386966911,0.9171558276937141
model 2,221.0,29.0,23.0,6.0,5.0,0.9589428023807122,0.953493424664566,0.953493424664566,0.9654409483943506,0.9162849644569103
best model,234.0,31.0,24.0,6.0,5.0,0.9613599126160568,0.9557578762014074,0.9557578762014074,0.9677896653767357,0.920727499172747
