         column name  percentage missing
nwspol        nwspol            1.180526
netusoft    netusoft            0.110393
netustm      netustm           32.158064
ppltrst      ppltrst            0.259085
pplfair      pplfair            0.709667
pplhlp        pplhlp            0.396512
polintr      polintr            0.218532
psppsgva    psppsgva            2.158290
actrolga    actrolga            2.106473
psppipla    psppipla            1.896952
cptppola    cptppola            2.248406
trstlgl      trstlgl            1.912722
trstplc      trstplc            0.720932
trstplt      trstplt            1.455381
trstep        trstep            7.801834
trstun        trstun            7.792822
trstprt      trstprt            1.926240
trstprl      trstprl            1.966792
vote            vote            1.054363
prtvtbat    prtvtbat           96.019105
prtvtcbe    prtvtcbe           97.143308
prtvtfch    prtvtfch           98.285534
prtvtdcz    prtvtdcz           97.442945
prtvede1    prtvede1           95.865907
prtvede2    prtvede2           95.814090
prtvtfee    prtvtfee           97.370852
prtvtdes    prtvtdes           97.134296
prtvtdfi    prtvtdfi           96.956316
prtvtcfr    prtvtcfr           97.614166
prtvtbgb    prtvtbgb           96.996868
prtvtehu    prtvtehu           98.044472
prtvtbie    prtvtbie           95.958276
prtvtcil    prtvtcil           95.971794
prtvtbis    prtvtbis           98.407191
prtvtbit    prtvtbit           97.870998
prtvblt1    prtvblt1           97.686259
prtvblt2    prtvblt2           97.702030
prtvblt3    prtvblt3           97.636695
prtvtfnl    prtvtfnl           97.341564
prtvtbno    prtvtbno           97.402393
prtvtdpl    prtvtdpl           97.638948
prtvtcpt    prtvtcpt           98.281028
prtvtdru    prtvtdru           97.357334
prtvtbse    prtvtbse           97.156825
prtvtesi    prtvtesi           98.535607
contplt      contplt            0.274855
wrkprty      wrkprty            0.252326
wrkorg        wrkorg            0.290626
badge          badge            0.283867
sgnptit      sgnptit            0.423547
pbldmn        pbldmn            0.304143
bctprd        bctprd            0.482123
pstplonl    pstplonl            0.396512
clsprty      clsprty            2.653930
prtclcat    prtclcat           98.042220
prtclcbe    prtclcbe           98.082772
prtclfch    prtclfch           98.170636
prtcldcz    prtcldcz           98.231464
prtclede    prtclede           96.625138
prtclfee    prtclfee           98.208935
prtclees    prtclees           97.598396
prtcldfi    prtcldfi           97.693018
prtclefr    prtclefr           97.807917
prtclbgb    prtclbgb           97.697524
prtclfhu    prtclfhu           98.641494
prtcldie    prtcldie           98.062496
prtcldil    prtcldil           97.717800
prtclbis    prtclbis           99.004213
prtclcit    prtclcit           98.328339
prtclblt    prtclblt           98.875797
prtclenl    prtclenl           98.003920
prtclbno    prtclbno           97.650213
prtclgpl    prtclgpl           98.909591
prtclept    prtclept           98.337351
prtcldru    prtcldru           98.008426
prtclbse    prtclbse           97.893527
prtclesi    prtclesi           99.035754
prtdgcl      prtdgcl           57.043729
lrscale      lrscale           13.075901
stflife      stflife            0.421295
stfeco        stfeco            1.996080
stfgov        stfgov            2.615631
stfdem        stfdem            3.359092
stfedu        stfedu            3.534819
stfhlth      stfhlth            0.714173
gincdif      gincdif            1.513957
mnrgtjb      mnrgtjb            1.124203
freehms      freehms            2.710253
hmsfmlsh    hmsfmlsh            3.649717
hmsacld      hmsacld            3.266722
euftf          euftf            8.135265
imsmetn      imsmetn            2.593102
imdfetn      imdfetn            2.818393
impcntr      impcntr            3.266722
imbgeco      imbgeco            3.519048
imueclt      imueclt            3.160835
imwbcnt      imwbcnt            3.519048
happy          happy            0.484376
sclmeet      sclmeet            0.470859
inprdsc      inprdsc            1.173767
sclact        sclact            1.926240
crmvct        crmvct            0.364972
aesfdrk      aesfdrk            0.889900
health        health            0.132922
hlthhmp      hlthhmp            0.392007
atchctr      atchctr            0.529434
atcherp      atcherp            1.550003
rlgblg        rlgblg            0.678126
rlgdnm        rlgdnm           41.147183
rlgdnbat    rlgdnbat           96.726519
rlgdnbe      rlgdnbe           98.195418
rlgdnach    rlgdnach           97.904792
rlgdnade    rlgdnade           96.510239
rlgdnafi    rlgdnafi           97.602902
rlgdngb      rlgdngb           97.938586
rlgdnhu      rlgdnhu           98.186406
