,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.25953041355590134,0.25945635919182053,0.8461279800934799,0.8373291583517445,0.8373291583517445,0.8707134246184339,0.6823240217080215
model 1,0.31559253847951657,0.31552409088860545,0.845690843673291,0.8369982828511416,0.8369982828511416,0.8702815311320907,0.681381040786881
model 2,0.31559253847951657,0.31552409088860545,0.845690843673291,0.8369982828511416,0.8369982828511416,0.8702815311320907,0.681381040786881
best model,0.25953041355590134,0.25945635919182053,0.8540415073730202,0.845042036977769,0.845042036977769,0.87831531018782,0.6970528475726026
