,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.05514497474095551,0.0550504797889344,0.9315040855442348,0.501678144252082,0.501678144252082,0.9645288818121438,0.049423827756968554
model 1,0.05514497474095551,0.0550504797889344,0.9315040855442348,0.501678144252082,0.501678144252082,0.9645288818121438,0.049423827756968554
model 2,0.07724466026408662,0.07715237550163678,0.9314032079088066,0.5004901960784314,0.5004901960784314,0.9644809712580121,0.01744825366597244
best model,0.05514497474095551,0.0550504797889344,0.9306389950846532,0.5018217903219844,0.5018217903219844,0.9640633842671195,0.03962228313948432
