,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.05514497474095551,0.0550504797889344,0.9849692323211944,0.9298676243777839,0.9298676243777839,0.9917826916157971,0.9056077453923628
model 1,0.05514497474095551,0.0550504797889344,0.9849692323211944,0.9298676243777839,0.9298676243777839,0.9917826916157971,0.9056077453923628
model 2,0.05514497474095551,0.0550504797889344,0.9849692323211944,0.9298676243777839,0.9298676243777839,0.9917826916157971,0.9056077453923628
best model,0.05514497474095551,0.0550504797889344,0.9829328235936646,0.9216454951722519,0.9216454951722519,0.990665372264954,0.8934296398338558
