,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.44832239499149834,0.44826722171366973,0.8946837486129325,0.5,0.5,0.9444148652965604,0.0
model 1,0.44832239499149834,0.44826722171366973,0.8946837486129325,0.5,0.5,0.9444148652965604,0.0
model 2,0.44832239499149834,0.44826722171366973,0.8946837486129325,0.5,0.5,0.9444148652965604,0.0
best model,0.44832239499149834,0.44826722171366973,0.8965729109776078,0.5,0.5,0.9454663259061948,0.0
