,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.0888928365733604,0.0888017167450349,0.9352365580550792,0.5002592016588906,0.5002592016588906,0.966533449093791,0.012712544296096957
model 1,0.05514497474095551,0.0550504797889344,0.9353038098120313,0.5007784124584752,0.5007784124584752,0.9665670408156196,0.030706671304571193
model 2,0.44832239499149834,0.44826722171366973,0.9352029321766032,0.5,0.5,0.9665166541690672,0.0
best model,0.05514497474095551,0.0550504797889344,0.9337793555434188,0.5025641025641026,0.5025641025641026,0.965743749117107,0.0691989604129947
