,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.05514497474095551,0.0550504797889344,0.8192609031910959,0.80933149692379,0.8093314969237899,0.7556902835661227,0.6128006504861251
model 1,0.05514497474095551,0.0550504797889344,0.8192609031910959,0.80933149692379,0.8093314969237899,0.7556902835661227,0.6128006504861251
model 2,0.05514497474095551,0.0550504797889344,0.8192609031910959,0.80933149692379,0.8093314969237899,0.7556902835661227,0.6128006504861251
best model,0.05514497474095551,0.0550504797889344,0.8267340251228836,0.8202995598700126,0.8202995598700126,0.7707317073170732,0.6325560303161418
