,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.05514497474095551,0.0550504797889344,0.9602205857628031,0.7780750170670231,0.7780750170670231,0.9788558303380327,0.6555948441924592
model 1,0.05514497474095551,0.0550504797889344,0.9602205857628031,0.7780750170670231,0.7780750170670231,0.9788558303380327,0.6555948441924592
model 2,0.05514497474095551,0.0550504797889344,0.9602205857628031,0.7780750170670231,0.7780750170670231,0.9788558303380327,0.6555948441924592
best model,0.05514497474095551,0.0550504797889344,0.9584243582741672,0.7974801535658511,0.7974801535658511,0.9777436684574059,0.6691402998977468
