,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.0888928365733604,0.0888017167450349,0.9713171256599079,0.9698367386509611,0.9698367386509611,0.9663124283814669,0.9414191892633578
model 1,0.0888928365733604,0.0888017167450349,0.9713171256599079,0.9698367386509611,0.9698367386509611,0.9663124283814669,0.9414191892633578
model 2,0.0888928365733604,0.0888017167450349,0.9713171256599079,0.9698367386509611,0.9698367386509611,0.9663124283814669,0.9414191892633578
best model,0.0888928365733604,0.0888017167450349,0.9752867285636264,0.9741199623985528,0.9741199623985528,0.9708722240102993,0.9494457137265597
