,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.05514497474095551,0.0550504797889344,0.9586737953529036,0.7632883345183769,0.7632883345183769,0.9781024625790065,0.6234180775089175
model 1,0.05514497474095551,0.0550504797889344,0.9586737953529036,0.7632883345183769,0.7632883345183769,0.9781024625790065,0.6234180775089175
model 2,0.05514497474095551,0.0550504797889344,0.9586737953529036,0.7632883345183769,0.7632883345183769,0.9781024625790065,0.6234180775089175
best model,0.05514497474095551,0.0550504797889344,0.9589705079191698,0.768185143616507,0.7681851436165069,0.9782663725454742,0.6214599648943365
