,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.0888928365733604,0.0888017167450349,0.9808668751471132,0.979217408484048,0.979217408484048,0.9778261510888776,0.961223953817775
model 1,0.13427115976435278,0.134184578222175,0.9802279834560678,0.9786155920881471,0.9786155920881471,0.9770962088906311,0.959912905910795
model 2,0.0888928365733604,0.0888017167450349,0.9808668751471132,0.979217408484048,0.979217408484048,0.9778261510888776,0.961223953817775
best model,0.0888928365733604,0.0888017167450349,0.9868241398143092,0.98583311764684,0.98583311764684,0.9846959004044089,0.9731913479493053
