,C,gamma,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,0.07724466026408662,0.07715237550163678,0.9149937792124819,0.8548046745445103,0.8548046745445103,0.9436270748253882,0.7897144220699501
model 1,0.05514497474095551,0.0550504797889344,0.9152627862402906,0.8552060069073993,0.8552060069073993,0.9438005429958841,0.7904182182481213
model 2,0.05514497474095551,0.0550504797889344,0.9152627862402906,0.8552060069073993,0.8552060069073993,0.9438005429958841,0.7904182182481213
best model,0.05514497474095551,0.0550504797889344,0.9139131622064446,0.8528649103958923,0.8528649103958923,0.9429850341366369,0.7864285233991157
