Feature,basinc,bennent,bnlwinc,ccgdbd,ccrdprs,chldhhe,crpdwk,edulvlpb,eduunmp,eiscedp,elgbio,elgcoal,elghydr,elgngas,elgnuc,emplrel,estsz,eudcnbf,euftf,eusclbf,gndr2,gndr3,gvsrdcc,hinctnta,iccohbt,icomdnp,icwhct,iorgact,isco08,jbspv,lbenent,lklmten,lknemny,lkredcc,lrscale,lvgptnea,marsts,nacer2,netustm,ownrdcc,pdjobev,pdjobyr,prtdgcl,rfgbfml,rfgfrpc,rlgblge,rlgdnm,rshipa2,rshipa3,rshpsts,sbbsntx,tporgwk,trstep,trstun,uemplwk,vteurmmb,wkdcorga,wkhct,wkhtot,wrkac6m,wrkctra,wrkprbf,yrbrn2,yrbrn3,average
trstprl,0.0002640246388371,5.84499639327421e-06,7.420456323403839e-06,2.6979512770296696e-05,5.147933696690653e-06,5.584915396087778e-05,9.715686720069826e-06,0.0002307743877077,2.8115605368552694e-06,0.0002782762495803,9.562331886366646e-05,2.2336552851832383e-05,2.2024040627160437e-05,8.612652726563985e-06,2.845218400373697e-05,0.00014007640379,1.2086105677283346e-05,9.655789649028023e-06,1.485396223168062e-05,3.235393019730937e-06,2.4627712726019706e-06,4.9463380145431366e-05,3.5266804377629064e-05,0.0,0.0002687205659872,0.0002702980406539,0.0001251710167043,0.0001580902462699,1.1677838166244018e-05,0.0001422908685406,1.4736536345894686e-06,1.7440156791740235e-05,6.788965135697351e-05,1.2909380292082348e-05,2.1157472100750055e-05,2.117965577807629e-06,0.0001020950004482,1.0250330805067096e-06,6.235772836565349e-05,8.684989222496507e-07,7.541322916608307e-05,0.0001574286312643,6.738448728206869e-06,0.0001012622789535,1.5226206356083296e-05,6.208552363121676e-05,8.512196324415122e-05,4.105622023560777e-06,4.700984021445746e-05,0.0001321798109155,4.407456026412908e-05,5.960080822909248e-05,1.179088882692526e-06,5.032910705952155e-07,4.478050564671915e-05,1.5693316968764475e-05,2.076979886347844e-05,5.489190700343694e-05,0.0001348483953063,2.5153703032619097e-05,1.1659419635940632e-05,1.4304596946929385e-05,3.3911624524594373e-05,1.06729370162245e-05,5.867488375850292e-05
bctprd,4.436235071842831e-06,0.0,3.2060750755091816e-06,1.6580071144522867e-05,0.0,5.31003055818953e-05,1.7421513282442108e-05,1.860658182350675e-05,5.723522730631925e-06,2.678111744029272e-05,0.0,1.125104691625183e-06,0.0,0.0,0.0,1.826076933379345e-06,1.5431187934514878e-06,6.129818576498943e-07,0.0,1.578512333645278e-06,0.0,3.849396314226271e-05,1.2501329630066195e-06,0.0,4.005417218298255e-05,2.6134257128430653e-05,1.2558380567140906e-07,4.658897057229079e-07,6.13415956442829e-06,4.2894539073637386e-07,1.2154993342246115e-06,0.0,5.567485006119914e-06,0.0,4.3931095717679154e-06,0.0,4.764334160653736e-06,0.0,1.8143547918834784e-06,0.0,2.4931643878335327e-06,3.319457885221562e-05,0.0001019121020743,6.202626542712923e-06,1.2762458763029936e-05,1.3834548917184374e-05,2.1706996607094995e-05,0.0,3.406869580228582e-05,3.949331867317023e-05,3.793499556005716e-07,8.444212228197216e-06,0.0,3.391783196512888e-07,1.5721501847623504e-07,7.704257773739357e-06,1.5283594249691096e-07,7.642974190720454e-06,1.7256652287666364e-05,0.0,0.0,0.0,0.0,3.372599256507952e-05,9.76334785015221e-06
stfdem,7.130234944789472e-05,6.053082735203403e-05,1.6024372598277086e-05,1.402983392720636e-05,5.156722991797394e-05,0.0010922565462476,0.0019394873902125,0.0005104070749642,4.552476553604341e-06,0.0006548806126815,6.447402603621737e-06,1.384125979606747e-06,2.0147414514874697e-05,3.174586671738644e-05,1.525650406359931e-06,5.953008890151822e-05,5.1858107273023727e-05,1.7614419904370991e-06,7.057722372674944e-06,1.1605906313873149e-06,1.4598714529247795e-06,0.0192973142673466,3.07907947199818e-06,3.086067963141099e-06,0.0010325437677635,0.0005770316722074,5.767310756590514e-05,0.0001002292352713,0.0001934068596792,0.000251889903756,1.890594493495938e-07,0.0,2.014146592573672e-06,4.92847415848906e-06,4.3931095717679154e-06,2.282537574151337e-05,0.0008190711864323,3.416394304616174e-06,0.0001320468291526,2.8813056595808327e-06,0.0017960549269982,0.0021458721025571,0.0001019121020743,5.708933016692056e-05,2.541012256489209e-05,0.0003303489003954,0.0002683490148726,0.0001347662887994,0.0310355088024247,0.000570966630448,1.6155951152368188e-05,6.978982759728547e-05,6.777583838240139e-06,1.0150701089641143e-06,0.0001530599402515,5.968000283667287e-05,5.206519807506953e-05,0.0009467326368529,0.0003269967518578,1.3058243826909036e-06,1.9145336544037915e-05,7.154863664649832e-05,3.3335144830213054e-05,5.980617234883476e-05,0.0010217317052727973
stfhlth,0.0059431829819549,2.3537188279932235e-05,0.0038709517011259,0.0030727100934827,0.0025063366236985,0.0002581495350237,0.0002376863216874,0.0045434036427758,0.0048921656369503,0.0013407514735214,0.0021358074548549,0.0028189731923033,0.0026581207041399,0.0022379117176557,0.0029105399694677,5.953008890151822e-05,5.1858107273023727e-05,0.0016572057566505,0.0062681224931598,0.0027190956280665,0.0041105761983363,0.0192973142673466,0.003686523878669,0.004159828791616,0.0023205141047892,0.0013705374710553,5.767310756590514e-05,0.0001580902462699,0.0001934068596792,0.000251889903756,0.0019752354197671,0.0030282287664531,2.046425364801585e-05,0.0038214301818141,0.0001814517732152,3.363260622861679e-06,0.0001930493018291,3.416394304616174e-06,0.0062005618017377,4.986585544346884e-05,0.0004177805235227,0.0002959718696229,0.0051978307500256,0.0049542109575494,0.0063438349133848,0.00134767144975,0.0025555253114286,0.0063968591826727,0.0310355088024247,0.0023253489577859,0.006568354072098,5.960080822909248e-05,0.014565755828493,0.013676695414568,0.0043005834540564,0.0034487990869705,5.206519807506953e-05,4.8850352205744185e-05,0.0002068806453605,1.3058243826909036e-06,0.006344496999599,7.154863664649832e-05,3.3335144830213054e-05,5.980617234883476e-05,0.00330622003913942
gincdif,1.5134244723833688e-05,5.224291862910201e-05,2.3154493351630414e-06,5.901207806158298e-06,0.0,2.493846543895425e-05,0.0001468404856618,0.001188377553094,3.3216578166500044e-06,0.0010788368739017,8.433405539142663e-06,0.0,8.465430619088274e-07,0.0,6.999257779977401e-06,3.662692183732678e-05,4.888490514505422e-05,4.515953262527877e-06,1.096542396305313e-06,1.7455930277223729e-06,9.89791675174226e-07,5.345624904241289e-05,0.0,0.0,0.0016156929840836,0.0009621648754837,6.544845315225997e-05,0.0001493135358936,0.0001840359751342,3.33512906876502e-05,0.0,6.085793638082746e-06,2.225781891153787e-05,1.0433831919380584e-05,3.64132463434257e-07,0.0,0.0010023862961032,1.0670770865656233e-07,0.0003036739135172,2.4006131007847e-06,8.027037620105761e-05,3.873514226456919e-05,3.731768982096788e-06,2.175113849314005e-05,7.300253579476595e-05,0.0001538409191623,8.672324675430166e-05,0.0002164076265809,4.742629079043473e-05,0.0013138493701392,9.170370558638406e-06,9.79394787536253e-07,1.8990077634735544e-06,1.13310536721153e-05,4.235685762816851e-08,0.0001527436456299,3.0119998497078103e-06,4.8850352205744185e-05,0.0242769820672212,1.5839785418411375e-05,4.959437425995626e-07,2.675445209788768e-07,1.750009421735551e-05,5.231702200940632e-06,0.0005253016246059562
mnrgtjb,1.1213726378102648e-05,1.765495282485599e-05,3.3566354616280702e-06,1.644346979806231e-05,0.0,5.584915396087778e-05,9.715686720069826e-06,0.0002307743877077,0.0,0.0002782762495803,9.562331886366646e-05,2.2336552851832383e-05,2.2024040627160437e-05,8.612652726563985e-06,6.505459653966905e-05,3.361339590144618e-05,2.293265155809939e-05,9.655789649028023e-06,1.485396223168062e-05,3.235393019730937e-06,5.89314208568848e-06,3.3146113479843914e-05,1.2760080061667858e-05,0.0,0.0002687205659872,0.0002702980406539,4.200987698451089e-05,0.0001580902462699,0.0007139917789063,0.0001422908685406,5.305350044608837e-05,5.565512984967453e-06,3.281743591149742e-05,1.2909380292082348e-05,2.1157472100750055e-05,2.3722743819327902e-06,2.8652321753590903e-05,1.0250330805067096e-06,0.0001172098842817,3.9472320474949706e-07,7.541322916608307e-05,0.0001574286312643,6.738448728206869e-06,1.3559135446473436e-05,9.005284554257856e-05,0.0001031175209901,0.0001903780242618,0.0002165916845084,4.700984021445746e-05,0.0001321798109155,4.407456026412908e-05,5.960080822909248e-05,0.0001313615185298,0.0003392443521281,1.626807154219555e-05,6.722825130553969e-05,2.076979886347844e-05,5.814898121501381e-05,0.0033019909200828,2.352147191202339e-05,2.8815064967738408e-05,9.4118492460943e-06,6.726078319103088e-05,4.295296116083454e-05,0.00012635474111693314
imsmetn,0.0,1.2555316989743591e-05,1.0887263943914975e-05,1.3501819081962044e-05,8.779373364153158e-06,1.5674613781966088e-05,3.348196584533796e-05,0.0045434036427758,1.1115569626673085e-06,0.0013407514735214,6.4299000220252055e-06,4.682555488637693e-06,4.7188329738870326e-05,2.0346460755595283e-06,3.0297564535769164e-06,6.725704795143005e-06,7.08144760576957e-05,1.0835539509077982e-05,0.0001369988222771,0.0027190956280665,6.182394193875559e-07,6.454434490833694e-05,6.1616728101573e-05,2.2858487250432595e-05,8.48745662435669e-05,0.0013705374710553,1.5366107094856185e-05,4.215291396699759e-05,1.5389090947444384e-05,1.4408369194271124e-05,0.0,2.7588699728360254e-07,2.046425364801585e-05,6.257111168419354e-07,2.2658037794794183e-05,1.1710973549557467e-06,1.1698152833145725e-05,1.089110684902819e-06,0.0001513867139082,4.000387016397901e-07,4.10817292717533e-05,4.461666620382916e-05,7.525544693969374e-06,3.4952589155445126e-05,1.8009578473955223e-05,0.0001554324710396,0.0002016588270194,1.8575950421793165e-06,7.542313310094604e-05,0.0001799541900689,6.205535864117344e-06,8.694787011360672e-07,9.945127108141656e-06,1.5193304999962816e-05,6.476138613497791e-06,1.7932700191944315e-05,2.52247833629481e-06,2.145025804426859e-05,0.0001131313486013,2.721306933245912e-07,0.006344496999599,3.1871522198503823e-06,4.945824733086333e-07,6.552555934072507e-05,0.00028528645038796764
imdfetn,0.0,5.75691873808612e-05,4.449808450671028e-06,1.990516600916353e-05,0.0,0.0001650156037689,3.439604160841073e-05,4.480373659336536e-05,2.7092164425416306e-07,0.0001223639986531,2.720593525885048e-06,1.7748227866370255e-06,2.9795743046754594e-06,1.5625848466592155e-05,0.0,6.989497024185633e-05,1.689442009144591e-05,6.675993407942473e-07,1.0741408664087913e-06,2.2074724805057767e-07,2.683799330725508e-07,2.1877091553154995e-05,0.0,0.0,5.821684607733847e-05,2.4425173931134304e-05,3.5106968945377864e-05,3.6339895473682495e-05,0.0008570538753705,6.268755376821895e-06,4.305074955767826e-06,1.0862757272190396e-05,2.666463578209095e-05,3.095910099855323e-05,2.9606365710725525e-06,8.519574365063902e-07,6.416325390659413e-05,0.0,0.0001278359218725,1.225350426432503e-05,6.0615254727016825e-06,0.0001360543989422,1.995560090749778e-05,7.863072439296724e-06,0.001028166189325,0.0001104334484192,8.425784189890819e-05,1.8568314265616527e-06,2.676931446291911e-05,1.2646922330103769e-05,1.8917081098709948e-06,6.397836853568113e-06,1.650263011550521e-06,8.342870441111933e-05,3.5754182071250155e-06,5.92355769252366e-05,3.777447958913402e-06,2.145025804426859e-05,0.0001131313486013,4.125832571058335e-06,3.4952361898420684e-06,7.544459567482428e-07,1.2067708112402964e-05,1.3718429257688266e-05,5.693447453963807e-05
happy,0.000108470464525,1.9762212869137564e-06,6.978295953005708e-05,3.308493751129148e-05,3.161982654111766e-05,9.573819188300343e-05,8.276911858655244e-06,7.683937483137991e-05,5.5280014302934806e-05,6.680956009609555e-05,2.5476838497741825e-05,1.7200429766883635e-05,6.34423853454046e-06,3.394499104946477e-05,0.0001132309355203,5.159278550113175e-05,3.425933273732125e-05,6.562882776849253e-05,7.090699732589402e-05,0.0001047762702994,1.0957437871887708e-05,0.0001599173888185,4.572908744042169e-06,4.023400665030864e-06,5.553675974608773e-05,5.592594484268937e-05,6.555485727502819e-05,8.867478837688245e-05,9.172101330227492e-05,4.742590990426567e-05,9.069076407938288e-05,7.546412216629819e-05,5.724349953530109e-05,1.705595938825762e-05,7.74102676110804e-05,2.0278596353034752e-05,2.0621605305817776e-05,7.832129260153619e-07,0.0002971208765094,3.6389512841931453e-08,2.0933833292329555e-05,1.377599340223927e-06,2.340511738082945e-05,0.001395678247031,0.0005792933067302,0.0002518240463276,0.0003429757761099,3.989771801231307e-05,0.0001768115112901,8.731677017052297e-05,3.428304222742743e-08,8.71795318993624e-06,1.00005577836606e-05,2.0462174426520236e-05,0.0001643053095747,0.0001058604468534,5.554535311280138e-06,3.0071292416840197e-05,0.0001439684615418,2.218025618510856e-07,4.849785953719023e-05,8.520824720965812e-06,2.9595917843002567e-05,0.0001531892875352,9.313703819258332e-05
hlthhmp,2.7014381273890266e-06,1.597918426053547e-06,1.9363160990242853e-05,1.005852460099885e-06,7.173553850155395e-06,0.0001073453109383,2.935473239038073e-05,0.0003829854668463,3.969662165746107e-06,0.0004088053656142,0.0,1.6050538842220684e-05,0.0,0.0,0.0,1.8139617369579267e-05,3.399957091290296e-05,3.164543773782065e-06,4.970546958457026e-07,3.22009037297072e-06,4.602970731122979e-05,7.244992563140431e-05,0.0,0.0,0.0005429083670829,0.0004179133687867,2.574063672751372e-05,6.399066892076992e-05,8.56232304425426e-06,2.2300864363899e-05,0.0,3.958880011400083e-07,2.2390343120801958e-05,1.9612204472310517e-05,1.0184765035172508e-05,2.495638071967769e-07,0.0001320687760823,2.6490758019119237e-06,0.000121512797832,2.903430986603004e-07,4.467189874706251e-05,5.794963840904074e-05,3.8968010496790295e-06,6.116262909986925e-06,0.0001232590377818,0.0001816799014362,0.0001386754610952,2.415530395755316e-06,1.4220552067277551e-05,0.0006022974575499,6.795014147305392e-06,6.810526547319163e-06,1.9791197363953736e-05,2.133151213419888e-05,2.2068572855082543e-05,6.231515903479838e-05,3.3897601209840264e-06,3.339216365546771e-05,0.0001680643588755,5.635828726659644e-06,3.175119885292804e-06,2.147086279947736e-06,6.379151130698044e-06,8.697853074204807e-05,6.518875030996082e-05
