Feature,basinc,bennent,bnlwinc,ccgdbd,ccrdprs,chldhhe,crpdwk,edulvlpb,eduunmp,eiscedp,elgbio,elgcoal,elghydr,elgngas,elgnuc,emplrel,estsz,eudcnbf,euftf,eusclbf,gndr2,gndr3,gvsrdcc,hinctnta,iccohbt,icomdnp,icwhct,iorgact,isco08,jbspv,lbenent,lklmten,lknemny,lkredcc,lrscale,lvgptnea,marsts,nacer2,netustm,ownrdcc,pdjobev,pdjobyr,prtdgcl,rfgbfml,rfgfrpc,rlgblge,rlgdnm,rshipa2,rshipa3,rshpsts,sbbsntx,tporgwk,trstep,trstun,uemplwk,vteurmmb,wkdcorga,wkhct,wkhtot,wrkac6m,wrkctra,wrkprbf,yrbrn2,yrbrn3,average
cntry,5.4731070962085046e-05,6.222804993077782e-05,6.762712650704278e-05,0.0001409799691697,1.0522104857518154e-05,2.2106713101500665e-05,0.0001124321202383,0.0161762848875648,1.23116114406402e-05,0.014496066497677,1.7856907316511104e-05,3.474596497572199e-05,2.37746244218476e-06,4.161086228082763e-06,1.4781161538648877e-06,0.0002832464472924,0.0003248524457278,2.5817575384728504e-05,1.4149857886550128e-05,9.204590833461144e-05,0.0125817152715682,0.0023113509493782,0.0,0.0,0.0141410290950328,0.013934683598309,0.0001464018364041,0.0001497328649738,0.000116675699159,9.49726212545084e-05,5.320648633282281e-06,2.351976784509369e-05,7.627007694531465e-05,2.2887877640987872e-05,5.204629703877437e-06,0.000220459313153,0.0007598605648276,2.3977899474065125e-06,0.0003384485339738,2.681545699016972e-06,0.000595878282575,0.0001639335570929,2.956648944020088e-05,9.481828401031872e-05,0.0001936045398381,0.0003295381164449,0.0002147590921637,0.0186496194405788,0.00279503540489,0.0140649058264945,2.3081926835491044e-05,1.7473912136618908e-05,7.554542156362973e-06,1.5674742086226152e-06,2.536663021975703e-05,4.1887929466198655e-05,0.0001666086483016,0.0006050883670714,0.001054924141189,6.494048166043417e-06,0.0001512823838226,1.247792918669276e-05,0.0148623946716644,0.0020527598657651,0.0020789102517399863
pspwght,2.3911747445132147e-05,0.0001806678222456,2.380087650356364e-05,0.0002889561687025,1.156532262844642e-05,0.0006631169573486,0.0011054832334098,0.0060184634160797,2.6906820104275007e-05,0.0073874697649239,0.0001130856517127,3.78633032571096e-06,2.127568173650075e-06,0.0,0.0,0.0004176432799036,0.0001875903099356,0.0047405615456008,6.523218171317985e-05,0.0112205680810835,0.0009225116155466,0.0002056960891026,4.054091896370577e-06,1.002372969619189e-07,0.0042363159088142,0.0063725579938538,0.0002337185603623,0.0002313364658345,0.0001904230535532,0.0002387826449427,0.0002071634329333,3.1331583115006634e-05,0.0002371327964287,4.451512261831486e-05,9.156871095693146e-05,0.0006714571816808,0.0009804577724177,0.0001042682358945,0.0005963398035101,2.3129958176833373e-05,0.0014009092371745,0.0012530769211252,0.0051736853998847,9.007438986336896e-06,0.000280913212349,0.0004722291547709,0.0014500512400447,1.6524660766117518e-05,0.0005365686265349,0.0041493749692955,5.115130762366524e-05,0.0001001899506879,0.001674345381168,5.73989605457366e-05,4.115754990326192e-05,0.003241932143824,3.268334591457116e-06,0.0008581178412818,0.0036852337818108,0.0002154223546263,8.50106877264265e-06,2.721534159061065e-08,0.0010262207196207,0.0003356940705957,0.0011585124980953293
anweight,2.224973501935146e-05,9.843464498510146e-06,2.3683721394075115e-05,4.263618040030991e-06,0.0,0.0010922565462476,0.0019394873902125,0.0005104070749642,6.736201272398423e-07,0.0006548806126815,7.914917839385181e-06,4.668964355634333e-07,3.927176589942591e-07,0.0,0.0,4.327785524522113e-05,5.1858107273023727e-05,1.7614419904370991e-06,7.057722372674944e-06,1.1605906313873149e-06,2.581725852392994e-06,2.227335759925378e-05,0.0,0.0,0.0010325437677635,0.0005770316722074,7.573204931136319e-06,0.0001392748490332,2.9796662064113457e-05,1.682120807311378e-05,1.890594493495938e-07,5.120172347615239e-06,2.691728736889052e-05,8.86539020847214e-06,1.5039176041210692e-06,1.9062818774604774e-07,0.0008190711864323,9.334393323115494e-06,0.0001320468291526,3.3667457003547365e-05,0.0017960549269982,0.0021458721025571,0.000177244030914,2.8991414438113394e-06,6.009085885337719e-05,0.0003303489003954,0.0002683490148726,7.329533478122761e-06,8.173086643962391e-05,0.000570966630448,3.931708013981621e-07,4.40845936824768e-06,6.777583838240139e-06,8.984019300607347e-07,3.446630789209993e-05,5.968000283667287e-05,3.9340906537810645e-05,0.0002007199732571,5.894382047772186e-05,1.1309021411916666e-05,1.9145336544037915e-05,3.045290381416744e-06,3.339947438811852e-05,5.980617234883476e-05,0.00020640091765074177
nwspol,6.674714855156133e-05,2.487579159922325e-05,5.388846147362472e-05,5.151516283917468e-05,7.581076479005907e-06,0.0028243696630952,0.0135408889032171,0.0031806499112064,2.7652774618997664e-05,0.0028278086204022,7.903778859049538e-06,7.465917739925898e-05,1.2982706531065248e-05,4.877827153795603e-07,0.0,0.0001062832079983,8.946977112184714e-05,3.3248306711726205e-07,1.9687764755888395e-06,4.856367096034669e-06,2.581725852392994e-06,0.0006759479636618,9.930580127310488e-08,0.0,0.0034387354710305,0.0026537935024543,0.0002812845903877,0.0001751752913317,0.0021241970238402,9.755478061571958e-06,4.908618004467365e-06,2.4146842414434043e-05,0.0003586751288561,3.397061169993679e-05,3.7214945929631855e-06,0.0001907366758528,0.002998818866378,1.395944208901447e-05,0.0244359041048279,2.7514558991194575e-07,0.0158142163879199,0.0156445720184972,0.0001776102403633,6.080191590187817e-05,0.0020351259145819,0.001648235158621,0.0024397793683244,7.329533478122761e-06,0.0006538722343175,0.0022520203136205,1.431499570325494e-05,0.0001186650602799,2.7826940276167665e-05,4.724883723882797e-05,0.0001638277327076,0.0001178654289678,1.417385919784514e-05,0.0002007199732571,0.0001193852210109,0.000214341809269,6.543172218296769e-05,1.126435151972265e-06,3.339947438811852e-05,0.0011016875553548,0.001614143546532579
netustm,3.24140769257552e-05,2.487579159922325e-05,6.176612272274402e-06,1.383070366271326e-06,1.6558327624560395e-06,9.481782560646858e-05,0.0012379930494175,0.0002195244758379,1.2995492661346816e-05,0.0001878436879708,0.0001290879715471,7.2623697449463e-06,4.266330476907805e-06,0.0,1.820579837499657e-05,0.000340383931845,5.652444970102266e-05,2.3350367783208426e-07,7.770752318943279e-06,1.1833988125409063e-05,0.0004919198659489,0.0006759479636618,0.0,0.0,0.0001759568988085,0.000277956026756,0.0002847490863083,0.0002116911285756,2.1114143632300957e-05,0.0002096317127695,4.908618004467365e-06,4.083623269205806e-05,3.0051525405648416e-06,2.7843838352376697e-05,9.162766427499784e-07,5.672911535258898e-07,0.0001061414964956,9.256311580341053e-06,,7.411769026966427e-07,0.0018589046852057,0.0003570384679372,4.352967972523308e-05,8.208102711012841e-06,0.000126458911698,0.001648235158621,0.0024397793683244,4.462674417241215e-06,0.0006538722343175,0.0001987254709036,7.203059959707886e-06,7.229704361700443e-05,0.0001488588198227,1.0546156350295809e-05,6.167890941671591e-05,0.0001966133350677,6.950175740700277e-05,5.105966477701762e-05,0.0001886221245089,5.435781144005708e-05,2.412776182443769e-05,1.5186897230408715e-06,8.371145912158442e-05,0.0011016875553548,0.00022776874816363949
ppltrst,3.421854633717969e-05,7.798749737034033e-06,2.275885111625911e-05,3.58170641214561e-05,4.344595484243691e-07,0.0001211503627436,0.0002313480025942,0.0002015502850353,1.0835694177111276e-05,0.0001436147751453,1.1109291008118585e-05,2.7927331613225648e-05,3.4573244236087563e-06,0.0,0.0,0.0055071404206354,0.0003843004198468,1.9026204673934576e-06,1.528932104737103e-06,3.2037635635952734e-06,8.44607362172787e-06,8.734621677146829e-05,3.465549077148337e-07,0.0,0.0001676835512314,0.0001992030833254,0.0055873296984078,0.0031046705253454,0.000113867619557,0.0053414022377149,1.4530887761971293e-05,2.3752085939464508e-05,0.0001246609576057,2.797351423402607e-05,3.913791202328799e-07,2.383720097752211e-06,0.0001927100453601,8.041837336473095e-05,0.0002474499111376,1.2334403345363244e-05,0.0003933044334823,0.0002874957374451,1.8257224161304507e-05,3.520151670134856e-06,0.0001013919414406,0.0001457170152776,0.0001014991036449,5.53625184101409e-06,1.1595464722762208e-05,0.0001195359222265,4.930298337049023e-06,0.0007646400973956,0.0001214868643571,3.174010793183296e-07,3.637503668128362e-05,0.0002763383193729,0.0007950723291758,0.0003616484193811,0.0443646364246773,0.0008815377004021,0.0005662060881171,4.725272547112135e-07,1.2718463916858912e-05,6.366609336098551e-05,0.001117576516288905
pplhlp,0.0001273352422675,1.9034834531602403e-05,0.0001397826032724,5.010100954965689e-05,4.845033397701217e-06,0.0005533014601573,0.0031808405484426,0.0116023649007465,6.99717784645542e-05,0.0138952925651917,1.646304383029951e-05,2.0653902106957304e-05,4.691689470414583e-07,0.0,0.0,0.0002386949001351,0.0001596270235055,1.6185036183145888e-05,4.990074664851946e-05,8.602709580131555e-06,0.0013664825580489,0.0013269069853198,4.674827155111729e-07,0.0,0.0166683617979521,0.0158707427332338,0.0015401220813769,0.0048181549533394,9.90393919078836e-05,6.024548499753874e-05,3.3005520209535747e-06,3.806235365108856e-06,6.808239287528616e-06,2.9865601774332116e-05,4.484445767132623e-06,0.002682477990103,0.0048810646155468,9.685845355100714e-07,0.0003570598444645,1.7509835859361216e-05,0.0018127171872245,0.0007827874589746,6.109163249106204e-05,2.4426372403013852e-05,0.0008066847831598,0.0002085937004089,6.944088562933942e-05,0.0024760995177632,0.0007620067630954,0.0063002102906771,1.5767416307753177e-05,0.0001563868886329,4.985462092940276e-05,2.120920269094709e-06,1.497749618267751e-05,0.0001453445629882,0.0005366953603379,4.579823999380001e-05,0.0007233873323135,3.2313693516386924e-05,6.635852745176169e-06,7.056117078071745e-05,0.0123328211782442,0.0020186468606021,0.0017085422829100781
psppsgva,2.081016239732988e-05,0.0001202868669271,0.00062379812379,0.0002513889026405,2.897882569184081e-05,0.0061950186860998,0.000713367029495,0.0089942713480239,0.0002776815195304,0.0073664036587194,6.405997245856734e-07,4.244512483049265e-05,2.1643179358101988e-05,0.0,3.377785233451668e-06,0.0008430510579124,0.0010977463194555,0.2385603022473528,1.6823028790683587e-05,0.2465342225350269,0.0011354294690049,0.002163625652772,0.0,0.0,0.0062627497305573,0.0068054479625896,0.0012516934087772,0.001125524294403,0.0007870987574542,0.0013331311380404,0.000119294291242,4.27153814430963e-05,0.018358069389739,0.0001334681013643,0.0002891662671533,0.0027188986336513,0.0019210540094096,1.1701405645728916e-05,0.002276834673916,5.0398792477614403e-08,0.0044672565255667,0.0057614377578197,0.0007648550862303,0.0126114360145794,0.0176939229029085,0.0100672109422952,0.0133731720030525,0.0015077175268236,0.0027608875034177,0.0062969683741532,0.0001936376477732,0.0005114063066298,0.002896157706503,0.0001234763114011,0.0005021845512478,0.3470121684038084,0.0001536403090011,0.0002007199732571,0.0001193852210109,0.0003797572190243,1.9118669637950405e-05,0.0003595382199258,0.0008783618651582,0.0015558800926754,0.015447789173450882
psppipla,6.037715526690493e-05,6.423980085386514e-06,6.260357585604032e-06,1.767131996101666e-05,3.2441659327110828e-06,4.574478601812948e-05,3.070204869053664e-05,4.6239034464526646e-05,1.951783114900633e-05,6.521004126697856e-06,2.9233648175990685e-07,2.4872722382382117e-06,2.082209499463952e-06,0.0,0.0,2.123400103741127e-05,9.33268089135722e-05,1.6035805511535163e-06,0.0,2.528120735014106e-06,7.117976036563368e-07,2.9354841501654773e-05,8.995160839801523e-06,0.0,8.268369736267784e-05,4.990061288683631e-06,2.0351813631740234e-05,2.8529272371649487e-05,0.0002371305285397,8.972554211954186e-09,0.0,8.450423050716063e-06,7.634973551278183e-05,4.271564846152045e-06,1.9818612622409414e-07,1.7083872164740952e-06,8.192918618280447e-05,6.338045753070857e-07,0.0001591638590755,6.03387046943012e-06,4.385287517944308e-05,1.4369099684258634e-05,6.325547072562049e-05,4.85255173588612e-06,1.7615576711370513e-05,5.017678445442009e-06,3.354289000286719e-05,0.0,2.8544585599863837e-05,5.4044905001351047e-05,2.250661898906921e-06,2.9762056409498705e-06,7.10777364321475e-06,1.0906591799183904e-05,1.9560483737182925e-05,3.572834804838438e-05,8.925586434022565e-06,3.397839098835543e-05,3.495865592875448e-05,2.676313138488877e-06,1.4825146896807216e-06,4.324874835710948e-07,2.342741476394142e-06,1.905650165223351e-05,2.445671976768321e-05
trstplc,1.0288773928938863e-06,0.0,0.0,7.177457813336435e-05,1.3429819885479505e-06,9.870378021136174e-05,0.0002571918762601,0.0004977144210522,0.0,0.0003938171176235,7.986406862865075e-07,8.936381490524464e-07,0.0,0.0,0.0,4.393541285216501e-05,2.0707658523364795e-05,2.6947311007145337e-06,0.0,7.835206990183687e-07,6.4977947246971e-06,0.0001028831252269,0.0,0.0,0.000632625922071,0.0003832681559339,2.7590121290607862e-05,5.346706912539766e-05,2.832114418158286e-06,1.714449141287969e-05,0.000176812954647,7.072271242465583e-07,2.691728736889052e-05,1.1938717883565332e-07,1.1027273476280106e-05,3.363260622861679e-06,0.0008190711864323,0.0,4.800277284903207e-05,5.853709666923271e-08,0.0002359550632819,0.0021458721025571,0.0013165974680788,2.8991414438113394e-06,9.867233431621074e-06,0.0003303489003954,0.0006247849122042,2.1174036328255e-06,9.645015868960156e-06,0.0002198744160787,3.462650361274847e-06,2.0681141506640925e-06,1.179088882692526e-06,5.032910705952155e-07,3.169561545371811e-06,5.968000283667287e-05,1.9358650756527376e-06,2.491813108086157e-05,9.079798267892226e-05,1.6889243770697914e-07,3.4584036523863143e-06,7.426308835961514e-07,7.044139465417512e-06,5.980617234883476e-05,0.0001384480077986905
