Metric,basinc,bennent,bnlwinc,ccgdbd,ccrdprs,chldhhe,crpdwk,edulvlpb,eduunmp,eiscedp,elgbio,elgcoal,elghydr,elgngas,elgnuc,emplrel,estsz,eudcnbf,euftf,eusclbf,gndr2,gndr3,gvsrdcc,hinctnta,iccohbt,icomdnp,icwhct,iorgact,isco08,jbspv,lbenent,lklmten,lknemny,lkredcc,lrscale,lvgptnea,marsts,nacer2,netustm,ownrdcc,pdjobev,pdjobyr,prtdgcl,rfgbfml,rfgfrpc,rlgblge,rlgdnm,rshipa2,rshipa3,rshpsts,sbbsntx,tporgwk,trstep,trstun,uemplwk,vteurmmb,wkdcorga,wkhct,wkhtot,wrkac6m,wrkctra,wrkprbf,yrbrn2,yrbrn3,average
accuracy,0.9965182960131076,0.9984298197706172,0.997200983069361,0.9982250136537412,0.9992490442381212,0.9587657018022938,0.9668896777717094,0.9605406881485528,0.996586564718733,0.95999453850355,0.9994538503549972,0.9991125068268706,0.9998634625887494,0.9996586564718732,0.9995221190606226,0.9929000546149646,0.9946750409612234,0.9931048607318406,0.9977471327143638,0.996586564718733,1.0,0.962998361551065,0.9996586564718732,1.0,0.9594483888585472,0.962588749317313,0.9918760240305844,0.991398143091207,0.9961769524849808,0.991807755324959,0.9922856362643364,0.9997269251774986,0.9984980884762424,0.9988394320043692,0.9938558164937192,0.9997269251774986,0.9782905516111414,1.0,0.9957673402512288,1.0,0.966206990715456,0.962998361551065,0.9947433096668488,0.9983615510649918,0.996381758601857,0.9605406881485528,0.9598580010922992,0.9997269251774986,0.963407973784817,0.9613599126160568,0.9974740578918624,0.9986346258874932,0.9928317859093392,0.9942654287274714,0.997200983069361,0.9947433096668488,0.9993173129437466,0.9898279628618242,0.9749453850354998,0.9995221190606226,0.9990442381212452,0.996996176952485,0.9989759694156198,0.9643637356635718,0.9887452638585472
balanced accuracy,0.979368932038835,0.9882051282051282,0.9759953161592504,0.9880514705882352,0.9935370152761456,0.9532026998880472,0.966159105925348,0.956694847412272,0.9749498997995992,0.95611255309081,0.9963302752293578,0.9941546762589928,0.998663101604278,0.9975822050290136,0.9963119072708112,0.9634666266250506,0.9762050030506406,0.987854737854738,0.9861344537815128,0.9934759916492693,1.0,0.962772118975732,0.9977416440831076,1.0,0.9552841608219516,0.9580931953026908,0.955362216219524,0.955438521665715,0.980225988700565,0.9576995725221196,0.9627062706270628,0.998056365403304,0.990909090909091,0.9921077065923862,0.977075904228222,0.9987980769230768,0.978244176721951,1.0,0.9935592560473336,1.0,0.9646909265091363,0.95509187390801,0.9954204829308908,0.9880239520958084,0.9849260523321955,0.9564320664678044,0.9562191235723704,0.9993746091307067,0.9632465590148876,0.9557578762014074,0.9830430797433548,0.9925205684367988,0.9526173285198556,0.9633187772925764,0.9798228346456692,0.9920074735312436,0.9960876369327074,0.9746783674867036,0.9199233717614916,0.9971358428805236,0.997592019263846,0.980819529206626,0.9977531455961652,0.9642302207453758,0.9788634989169893
ROC,0.979368932038835,0.9882051282051282,0.9759953161592506,0.9880514705882352,0.9935370152761456,0.9532026998880472,0.966159105925348,0.9566948474122722,0.9749498997995992,0.95611255309081,0.9963302752293578,0.9941546762589928,0.998663101604278,0.9975822050290136,0.9963119072708112,0.9634666266250504,0.9762050030506406,0.987854737854738,0.9861344537815124,0.9934759916492693,1.0,0.962772118975732,0.9977416440831076,1.0,0.9552841608219514,0.9580931953026908,0.955362216219524,0.9554385216657152,0.980225988700565,0.9576995725221196,0.9627062706270628,0.998056365403304,0.9909090909090909,0.9921077065923865,0.977075904228222,0.998798076923077,0.978244176721951,1.0,0.9935592560473336,1.0,0.9646909265091362,0.95509187390801,0.9954204829308908,0.9880239520958084,0.9849260523321955,0.9564320664678044,0.9562191235723704,0.9993746091307067,0.9632465590148874,0.9557578762014074,0.9830430797433548,0.9925205684367988,0.9526173285198556,0.9633187772925764,0.9798228346456692,0.9920074735312436,0.9960876369327072,0.9746783674867036,0.9199233717614916,0.9971358428805236,0.997592019263846,0.980819529206626,0.9977531455961652,0.964230220745376,0.9788634989169894
F1,0.9981023255813952,0.9991596331616062,0.9985160519743748,0.999042216164444,0.999601521463503,0.9681501792870704,0.9633048346826056,0.9664343786295004,0.9981718464351006,0.965973754500058,0.9997050582509956,0.999520029536644,0.9999280627293,0.9998163992215328,0.9997445721583652,0.9961332540154668,0.9970110361741265,0.995208955931882,0.9987754647667816,0.997693939673462,1.0,0.9574568288854004,0.999815409606084,1.0,0.9659325533379214,0.9686570578814916,0.9955937349576036,0.9952879581151832,0.9978883861236802,0.995540691192865,0.9957162894726866,0.9998531679025034,0.9991820953230725,0.9993740564821976,0.9964650432050276,0.999845987987063,0.9778705636743212,1.0,0.9968702675416456,1.0,0.9606924481854998,0.9445240532241554,0.993868938609762,0.9991213940547664,0.997948360624008,0.949800243182213,0.966403839561193,0.9998253580160672,0.9579607843137254,0.9677896653767356,0.998637250929984,0.9992493056076872,0.9961375758690454,0.9968992248062016,0.9984984435085148,0.996099093165814,0.9996261682242992,0.9937810426144664,0.9854969373641572,0.9997393797237426,0.999404153898536,0.998373142054278,0.9993373094764744,0.9584130019120458,0.9896714175051615
Matthews,0.9772952529884492,0.9873046889212448,0.9742532574376424,0.9870334032244744,0.9931201781570038,0.9097660270191856,0.9331849793509928,0.9191941274539852,0.97284788739526,0.9180724505380056,0.9960297028875678,0.993660449580591,0.9985903683092328,0.9973961355536805,0.9960506294942088,0.9533416362991208,0.9730023302939786,0.9830588593811084,0.984830272046006,0.991166239625636,1.0,0.9247408261053623,0.9975549321659042,1.0,0.9163829447713734,0.9229573374866158,0.9444919545672364,0.9470546508116476,0.9779592614474564,0.9459820116680842,0.9578715782727942,0.9979079371910022,0.9900572847007684,0.9914555246847524,0.9733600565205792,0.998643538796865,0.9570738333614563,1.0,0.990377830908696,1.0,0.9311451102014068,0.9170059569180942,0.989325623648759,0.9870837283650922,0.9827922868357768,0.9175719410616258,0.9168397434478396,0.9991998959588948,0.9255933011913908,0.920727499172747,0.9815582900577172,0.99174760728208,0.9477704162475664,0.9596398954294928,0.97814521713651,0.9881131904221933,0.9957076567880216,0.9662379179919656,0.8973424371591571,0.9968718905008348,0.9969948804749228,0.979037915576126,0.9970896347938174,0.9272759715688684,0.9681857560570135
