Metric,basinc,bennent,bnlwinc,ccgdbd,ccrdprs,chldhhe,crpdwk,edulvlfb,edulvlmb,edulvlpb,eduunmp,eiscedf,eiscedm,eiscedp,elgbio,elgcoal,elghydr,elgngas,elgnuc,emplrel,emprelp,estsz,eudcnbf,euftf,eusclbf,gndr2,gndr3,gvsrdcc,hinctnta,iccohbt,icomdnp,icppdwk,icwhct,iorgact,isco08,isco08p,jbspv,lbenent,lklmten,lknemny,lkredcc,lrscale,lvgptnea,marsts,nacer2,netustm,occf14b,occm14b,ownrdcc,pdjobev,pdjobyr,prtdgcl,rfgbfml,rfgfrpc,rlgblge,rlgdnm,rshipa2,rshipa3,rshpsts,sbbsntx,tporgwk,trstep,trstun,uemplwk,vteurmmb,wkdcorga,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctra,wrkprbf,yrbrn2,yrbrn3,average
accuracy,0.928181321682141,0.9365783724740578,0.9428590933915892,0.9654560349535772,0.9722829055161114,0.9565128345166576,0.9177362097214636,1.0,0.9491398143091206,0.915619879847078,0.9363052976515566,1.0,0.9488667394866194,0.915415073730202,0.9512561441835062,0.962588749317313,0.9754232659748772,0.9645002730748226,0.9629300928454396,0.9703713817586018,0.8830557072637902,0.9683233205898416,0.9221054068814856,0.9254505734571272,0.9416302566903332,0.9987711632987438,0.9965182960131076,0.9618377935554342,0.8392271982523212,0.9215592572364828,0.923197706171491,0.921217913708356,0.9939240851993446,0.9860731840524304,0.9827280174767886,0.878003823047515,0.9931048607318406,0.9011469142545058,0.96101856908793,0.9621108683779356,0.9645685417804478,0.8823047515019116,0.9921490988530858,0.9358956854178044,0.9805434188967778,0.9902375750955762,0.8646231567449482,0.7060349535772802,0.9630666302566904,0.9104997269251774,0.9016247951938832,0.689582195521573,0.9733069361004916,0.9308438012015292,0.9953577280174768,0.9954942654287274,0.999795193883124,0.9974740578918624,0.8825778263244128,0.946613872200983,0.988189513926816,0.9321409066084108,0.9303659202621518,0.9332332058984162,0.957400327689787,0.9894866193336974,0.9034680502457674,0.9333697433096668,0.8730884762424904,0.9956308028399782,0.9897596941561988,0.9246996176952484,0.9885308574549426,0.9902375750955762,0.9427732962345198
balanced accuracy,0.6577995650902394,0.5364485501090489,0.5258809026359422,0.8046595740065938,0.8039075406556049,0.9580399450649588,0.9153603756796966,1.0,0.6893865319448585,0.9121721807635532,0.5697148876507594,1.0,0.6911452666400373,0.9117074963577446,0.7230975043002472,0.8142642800653095,0.788452275612665,0.7941261967499038,0.7644176299547605,0.8763114317467767,0.8859592866149519,0.8613831950293388,0.8668594107583621,0.5683705671301066,0.8947583839297847,0.997176913425345,0.996835634288739,0.7943821391048511,0.5685234050730158,0.9180611695582626,0.9197374535315984,0.9183987173490238,0.9886500922259228,0.9417081457747088,0.9166549248867666,0.8818550990082799,0.97787218034953,0.5329147671486862,0.741412361153539,0.7721652179153972,0.8043583089644359,0.6017823627531083,0.9654447115384616,0.9358773453695046,0.9056017172660502,0.9850740266318718,0.6124032265169794,0.6927352942210544,0.7347091695983591,0.9073012052286398,0.8869856849132298,0.6803828106025669,0.8127503603375106,0.7369421931085733,0.995159256732774,0.9944852941176472,0.99953095684803,0.9976969883313974,0.8622637180932065,0.6841759953408519,0.940012638222126,0.6024073609948328,0.5869569983962807,0.5337305575579461,0.935229395889558,0.959918440251749,0.7718683192900558,0.783427648520389,0.8728995802689643,0.9790203584270988,0.978341416433646,0.5327425776914585,0.974835230677052,0.9914098210150378,0.8232301644518292
ROC,0.6577995650902394,0.5364485501090489,0.5258809026359422,0.8046595740065937,0.8039075406556051,0.9580399450649586,0.9153603756796964,1.0,0.6893865319448585,0.9121721807635532,0.5697148876507594,1.0,0.6911452666400373,0.9117074963577448,0.7230975043002472,0.8142642800653095,0.7884522756126648,0.7941261967499038,0.7644176299547605,0.8763114317467767,0.8859592866149519,0.8613831950293387,0.8668594107583623,0.5683705671301067,0.8947583839297846,0.997176913425345,0.9968356342887392,0.7943821391048511,0.5685234050730158,0.9180611695582626,0.9197374535315986,0.918398717349024,0.9886500922259228,0.9417081457747088,0.9166549248867664,0.8818550990082799,0.97787218034953,0.5329147671486862,0.741412361153539,0.7721652179153972,0.8043583089644358,0.6017823627531083,0.9654447115384616,0.9358773453695046,0.9056017172660504,0.9850740266318716,0.6124032265169793,0.6927352942210544,0.7347091695983592,0.9073012052286398,0.8869856849132297,0.6803828106025669,0.8127503603375106,0.7369421931085733,0.995159256732774,0.9944852941176472,0.99953095684803,0.9976969883313972,0.8622637180932065,0.6841759953408519,0.940012638222126,0.6024073609948328,0.5869569983962808,0.5337305575579461,0.935229395889558,0.959918440251749,0.7718683192900557,0.7834276485203889,0.8728995802689643,0.9790203584270986,0.9783414164336458,0.5327425776914585,0.974835230677052,0.991409821015038,0.8232301644518292
F1,0.9616366421121728,0.967081251550264,0.9704938837381464,0.9815664845173042,0.9854198089492208,0.9657986577181208,0.907499808090888,1.0,0.9731927602461228,0.9276346604215456,0.966765219249813,1.0,0.9730371863638,0.9275565690229784,0.9741210583544762,0.9799458391275708,0.987174005985464,0.9811211153064188,0.9804218496484586,0.98391043226811,0.8486882784206342,0.9824640967498112,0.9481575719024036,0.9608124596282208,0.9617227022429152,0.9992152759612868,0.9959946595460614,0.9796097027174904,0.9099873867675724,0.9335261787677176,0.934967339152552,0.9330704094652592,0.9966876325877404,0.9923669834617976,0.9905168859402526,0.840346645224694,0.9962345748052044,0.9476121562952244,0.979404869251578,0.979761514057543,0.9810922073663886,0.9354645504229993,0.9955909979680252,0.9353083017568034,0.989306217402724,0.9928108189633502,0.924275403826326,0.7533791523482245,0.9805779931789624,0.8952959028831563,0.85276387044038,0.629209818152165,0.9858584397265724,0.9619015382300952,0.9941790789248416,0.9962055881338392,0.9998690127930838,0.9970923379174852,0.9073275862068964,0.971762836715534,0.993536817723316,0.9642805807100762,0.963393626184324,0.965289608177172,0.969239869860988,0.9942494398805078,0.9430160393326348,0.9622612326966206,0.8186518388449907,0.9976197560249924,0.9936354378818736,0.9606591290080964,0.9926276987888364,0.9886714727085478,0.9552963345513198
Matthews,0.4297960287270926,0.2206697593385177,0.1699332434227562,0.7212791743927415,0.717947134517901,0.9067752420031354,0.834019606175681,1.0,0.5055787107940521,0.8265766986433148,0.2856722550165939,1.0,0.5048079378788728,0.826114502558107,0.5834257959362689,0.70891931003459,0.7133247147882046,0.6978772886455384,0.6505797661998363,0.7990980823569369,0.7567193146283404,0.8317350836420774,0.807141124846957,0.2942764104619011,0.8468342577575305,0.9963907184526132,0.992931667578732,0.6956155895242883,0.2722405415747214,0.8379297841594838,0.8412569061931583,0.8373407065964329,0.9602322597660964,0.9137673435614698,0.8975665969380088,0.7459305670752393,0.9553935849500892,0.2053102866937933,0.6536845398480041,0.7208329363308597,0.7119018653020389,0.344706305205917,0.9605815265597888,0.8718530550898793,0.8868928797036338,0.9778468759048562,0.3585948661893676,0.3938746092930072,0.6451281364463337,0.8173958074522777,0.7790723891066073,0.3625748347398137,0.7696157678397862,0.6256489997473244,0.990318513465548,0.9907037067899064,0.9993999296154936,0.9948676168803844,0.7641349455253041,0.5270697790581955,0.9269793822489064,0.3497867961093333,0.3368364826063657,0.2041369190151893,0.90471322226252,0.9331839006953652,0.6522418249682966,0.7101238681633043,0.7248521025042619,0.9711711079570794,0.9676185806552302,0.2019649802631765,0.9673522746326982,0.9802695207737696,0.7130937681727147
