Feature,basinc,bennent,bnlwinc,ccgdbd,ccrdprs,chldhhe,crpdwk,edulvlfb,edulvlmb,edulvlpb,eduunmp,eiscedf,eiscedm,eiscedp,elgbio,elgcoal,elghydr,elgngas,elgnuc,emplrel,emprelp,estsz,eudcnbf,euftf,eusclbf,gndr2,gndr3,gvsrdcc,hinctnta,iccohbt,icomdnp,icppdwk,icwhct,iorgact,isco08,isco08p,jbspv,lbenent,lklmten,lknemny,lkredcc,lrscale,lvgptnea,marsts,nacer2,netustm,occf14b,occm14b,ownrdcc,pdjobev,pdjobyr,prtdgcl,rfgbfml,rfgfrpc,rlgblge,rlgdnm,rshipa2,rshipa3,rshpsts,sbbsntx,tporgwk,trstep,trstun,uemplwk,vteurmmb,wkdcorga,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctra,wrkprbf,yrbrn2,yrbrn3,average
cntry,0.0,0.0,0.0,0.0024042017614988,0.0013041526781535,0.01036253524359,0.004945206932849,3.17579654487498e-06,0.0001458601776188,0.0201220518603397,0.0,2.6143865258422134e-06,0.0001554133432755,0.0200516741859145,0.0,0.0017364523163309,2.7567999731531296e-05,0.0007703404700379,0.0010196541997337,0.0032719115997989,0.0060827463169785,0.0002322652763246,0.0021629778551586,0.0,0.0005070020279131,0.0080036288631368,0.0001237247925036,0.000721084220985,0.0,0.0188309856926136,0.0201643194788357,0.0196854701823534,7.639209791477776e-05,0.0004047250936922,0.0001684862025852,0.0131686873753726,0.0015442996703203,0.0,0.0019413040236855,0.0002647217359739,0.0027995087576055,0.0018105934825685,3.5593955081486543e-05,0.0144687072086568,0.0023127183161451,0.0005790810713976,0.0065406180755758,0.0094263095664379,0.0011032727001385,0.0024240707876675,0.0026574544165219,0.0026517478370785,0.0011375620340792,0.0021934504387285,0.0005540814137887,0.0004514039106769,0.0002326026251289,0.0001894005421093,0.0064807755996751,0.0,0.0027529553676881,0.0,0.003265376245519,0.0,0.0008508799096328,0.0008254203423414,0.0,0.0127595592382176,0.0096711281004511,0.0016241282446687,0.0008070894814577,0.0,0.0065952842927249,0.0023819201412501,0.0035133557832608634
pspwght,0.0,0.0,0.0,0.0017577556144003,0.0017121461990188,0.0012373629862124,0.0060234584750403,7.980496660946899e-05,0.005448160277366,0.0039726806284477,0.0,8.075162746408633e-05,0.0054448729805056,0.0039892051976877,0.0,0.0002889890414811,0.0012098543927333,0.0007584487423404,0.0012706927284418,0.0018291616486823,0.0031608996965726,0.0003401615214007,0.0024806226477867,0.0,0.0034220136373414,0.0006478354974331,9.96589181795255e-05,7.325225827789616e-05,0.0,0.0046331436749472,0.0047531197346817,0.0051749919554066,9.812733310783058e-05,0.0004018965750142,0.0001244271928124,0.0040946844685159,0.0006753386651348,0.0,0.0008206416318213,0.0006475852859777,0.0007097653830471,0.0045875742495967,0.0002005861709973,0.0041505259054794,0.0006727737571336,0.0002674020560361,0.0089288425407956,0.0080384197988534,0.0012056644694609,0.0053666365169066,0.0040861119781612,0.0202825555118775,0.0018464681045321,0.0008463710482953,0.0005158324942012,8.057113844634651e-05,3.3672745000911235e-05,4.722981573593845e-05,0.0097038574292028,0.0,0.0003906275538654,0.0,0.0016459636140344,0.0,0.001163977945094,0.001347005397995,0.0,0.013247607173683,0.0022155292695334,0.0001682465118832,0.0009529500392498,0.0,0.0003505253246729,4.791880595295733e-05,0.002160175120953606
anweight,0.0,0.0,0.0,0.0003926917182278,0.0009906899225088,0.0014527039866122,0.0088659843994844,2.0601012443963173e-07,0.000446567587233,0.0221027461014976,0.0,3.206150087510865e-07,0.0004311526755437,0.022070771091195,0.0,0.0010103780715961,0.0003599260419463,0.0004704450724237,0.000233669598914,0.0042357452975437,0.0037686357276898,0.0001815637013156,0.0002457183179652,0.0,0.0039620401263673,0.0005768296215858,4.453884916691742e-06,0.0004460913954369,0.0,0.0229669046424602,0.0187614387040466,0.021722375800585,0.0,0.0002214742888656,0.0001122258574002,0.0011946558492687,0.0002765646437917,0.0,0.0002453420283324,0.0014403345972867,0.0022126808944578,0.0012019823201111,7.948837669876195e-05,0.0043529696893896,0.0003880391504519,3.84610190407722e-06,0.001426298787053,0.0040127724962412,0.0006733135438386,0.0042762765378285,0.0096229457634262,0.0102773559691947,0.0028763763516558,0.0047157964971384,0.0001858931853835,0.0001133320636722,8.62242598689581e-05,8.36742408593529e-07,0.0134470345792782,0.0,9.8683451738498e-05,0.0,0.0028950679885777,0.0,0.0001475688693293,3.733610320207918e-05,0.0,0.0030379746759572,0.0034499157680336,0.0003391122627305,0.0007097720632563,0.0,0.0001871489880507,0.0002102517065863,0.0028413100346572585
nwspol,0.0,0.0,0.0,0.0014001329835504,0.0001693315311678,0.0006817523067809,0.003782640275816,8.035602718948916e-06,0.0011899149030056,0.0141007404256164,0.0,7.889338320570073e-06,0.0012011180394651,0.0139991420769825,0.0,0.0019465938091424,0.0005013758955899,2.7549055363448123e-05,0.0006229253774702,0.0010151552184628,0.0055321056244826,0.000113070075272,0.0003876977998569,0.0,0.0031185143823427,0.0002925439881386,3.707962722567937e-05,0.0002408407556526,0.0,0.0117877141552883,0.0124528353791915,0.0137811695766121,4.204556279876112e-05,0.0003654329021128,4.294776097552684e-05,0.0049305046484553,0.000471704329798,0.0,0.0016014487841006,5.048208276565598e-05,0.0011476618918229,0.0069709533852551,0.0001416140692261,0.0112873685854688,0.0002510389979884,0.0011605285018034,0.0010990397596034,0.0178398407098608,0.0008800115539463,0.0035826893876748,0.004293984991306,0.0057190253846625,0.00313762910692,0.0055783355694068,0.0002794948985517,0.0005894559321569,3.553528896603686e-05,7.813312884974445e-08,0.0232398580904255,0.0,0.0005847455683068,0.0,0.0028950679885777,0.0,0.0006120718082305,0.0005855249966856,0.0,0.0014840117134537,0.0046043351397534,3.343318491213528e-05,0.0012946779569177,0.0,4.13290130100692e-05,5.649359525138576e-05,0.0026395712091594036
netusoft,0.0,0.0,0.0,0.0010816724492716,2.601426605220694e-05,0.064065326428425,0.1697325769425849,1.4799192922820838e-07,0.0039440807619593,0.0221027461014976,0.0,4.755558995291343e-07,0.003939906392126,0.022070771091195,0.0,0.0001212920410996,0.0006525060582596,0.0001667424616724,0.0010642667872433,0.0042357452975437,0.1278941725898053,0.0001815637013156,0.0032374859581462,0.0,0.0090856104526098,0.0005768296215858,8.703952954729643e-06,0.0027705549544827,0.0,0.0229669046424602,0.0187614387040466,0.021722375800585,0.0,0.0005405688969704,0.0001122258574002,0.123046355330251,0.0002765646437917,0.0,0.0055655512528536,0.0,0.005074495665259,0.0119596741427131,0.0018065612438477,0.1112485782111655,0.0003880391504519,0.0010921453815992,0.0066222001417443,0.0790454339585625,0.0031118198544605,0.1742325597287984,0.1598672882649667,0.0302642664471073,0.0012239446865252,0.0071354561006379,0.0005392634279834,0.000710614359072,8.62242598689581e-05,6.6206202158118285e-06,0.0134470345792782,0.0,9.8683451738498e-05,0.0,0.0039551815641701,0.0,0.0004806130469031,3.733610320207918e-05,0.0,0.0030379746759572,0.1057708194006597,0.0003391122627305,0.0007097720632563,0.0,0.0001062176695567,0.0015378001363227,0.01829576902141584
netustm,0.0,0.0,0.0,0.0007535567847582,0.0009909547216861,0.0004013437324103,0.0040186167999474,8.311178519869745e-05,0.0033444084582713,0.0117305612465485,0.0,8.820502529024121e-05,0.0033545012463915,0.0117590593430287,0.0,0.0033828687974119,0.0010671255067115,0.0018253481868979,0.0049111365232595,0.0080693332180675,0.0174230208241268,0.0014951822270174,0.0035567095658287,0.0,0.0043749221140185,0.0007455492928152,1.128690516533698e-05,0.007898217588575,0.0,0.0181120553462062,0.0159553099259123,0.0100010285187982,2.5653482933348744e-05,0.000969531298123,0.0005985225487716,0.0115192589244631,0.001874760699807,0.0,0.0047084432214507,0.0006716598767045,0.0076281899416201,0.0211584803721752,0.0002319879068733,0.0056492761243639,0.0006230232220817,,0.0132985627160633,0.0241204513735173,0.0032713730591844,0.0118435150779644,0.0099398171181426,0.0062252194212975,0.0035956926845578,0.0071148426017724,0.0004406704552186,0.0004895962201424,4.425438047728268e-05,7.2567734538458995e-06,0.00159320932065,0.0,0.0016691045480815,0.0,0.0113399941010277,0.0,0.0016093259505108,0.0004948338318824,0.0,0.0139169966160796,0.0124527750977016,0.0002585128430142,0.0072103277161495,0.0,0.0009605384128594,6.841711737723622e-05,0.004424349160833372
ppltrst,0.0,0.0,0.0,0.0009850928761083,0.0007416393000968,0.0002795337877574,0.0132458856605661,6.171751282127505e-06,0.0001035405559125,0.0070329263259282,0.0,6.961874797852756e-06,9.546519263243292e-05,0.0070543572431061,0.0,0.0008164665227546,0.0006205858102867,0.0004919414530422,0.0001033887658188,0.010614325836368,0.0022560028312498,0.0004916659743178,0.001691002642789,0.0,0.0057505491674789,0.000436561145536,2.1076793149279076e-05,0.0015365597842182,0.0,0.0076104144562792,0.0110609151991548,0.0090462057209932,4.257004936643698e-05,0.0002663067068181,0.000381581930909,0.0025096951248905,0.0011272396013309,0.0,0.0012752909875883,3.317571737159307e-05,0.0008989041757355,0.0053654442499358,0.0001629424507008,0.0052249433537517,0.0004211035696122,7.418372991597608e-05,0.0006316289738243,0.0044427255562191,0.0003347578515559,0.0183772684846912,0.0098250683975346,0.0013545485804574,0.0022277658450094,0.0014987585886822,0.0006177292557093,0.0003652496229421,8.012230819251532e-05,0.0,0.017263108904991,0.0,0.0001036654861236,0.0,0.0017351990595246,0.0,7.37732927119128e-05,0.0014531728160074,0.0,0.0017036128082847,0.0022337445793622,0.000172556074938,0.0011613134140059,0.0,0.000408139762058,0.0001083456930616,0.002243984779397811
pplhlp,0.0,0.0,0.0,0.000873423017293,0.0003322920430654,0.0006709513508256,0.003782640275816,2.02072481709095e-05,0.0021588295284063,0.0026815244445477,0.0,1.976973512094973e-05,0.0021705620916359,0.0027430830287252,0.0,0.000341532192333,0.0009646915436663,2.7549055363448123e-05,0.0002988828934612,0.000970985685728,0.0057007275315832,0.0004537506289496,0.000440901552704,0.0,0.0011950312749907,0.0001904352409493,0.0001642376050564,0.0008862249299941,0.0,0.00173472834953,0.007873343084503,0.0020495339743883,4.178204835837672e-05,3.7672148391444926e-05,0.0001166919548626,0.0029597476151401,4.797581673662392e-05,0.0,0.001489464040673,0.0001042610936443,0.0003457933595869,0.0016079342734738,0.0002609628285351,0.0026434788506832,0.0003763439529464,0.0001155665434974,0.0011857914411465,0.0073181480498689,0.0020939291470043,0.0067047861924811,0.0015224904443482,0.0071664057897323,0.0011751651045486,0.0055783355694068,0.000105198063044,6.329888503689866e-05,3.7028493711364365e-05,3.886119066948646e-05,0.0010958836114355,0.0,5.9413630671070416e-05,0.0,0.002569757744747,0.0,5.598784763684023e-05,0.0002149998390697,0.0,0.0024167673904029,0.0004148809480174,0.000533200504066,0.0015040420307426,0.0,3.111724791768203e-05,0.0002110799925288,0.0012295957025887931
psppsgva,0.0,0.0,0.0,0.0016677583254855,0.0007722663457165,0.0002981773783467,0.0071104646834045,6.099440783231547e-07,0.0001949957282416,0.0008612509097213,0.0,1.0261673668849891e-06,0.000205606634148,0.000834654960217,0.0,0.0019209893705226,0.0006905237059239,2.3888587000593704e-05,0.0014235111024987,0.0044846071986238,0.0031993570183251,0.000375926520356,0.279900205764968,0.0,0.3052502356786462,7.429401659499235e-05,3.7671132459710544e-05,0.0011782229296555,0.0,0.000803005037177,0.000948696712169,0.0008903618454786,5.270492247695631e-06,1.921871870484742e-05,8.718054488055657e-05,0.0029411613325582,0.0001341555082059,0.0,0.0051510913049557,0.0720606274222999,0.0014544439702185,0.0577236342959456,0.0,0.0255617329262006,0.0002960112447642,0.0002159571231432,0.0099795195606745,0.1148388010983705,0.0027325236312229,0.0060707042508571,0.0142917545859587,0.0469664757024242,0.0354422062751162,0.0421471582288012,0.0004392982247103,0.0071742909023747,1.474959467502901e-05,6.132187690612912e-06,0.0008652900527606,0.0,0.0003286153685665,0.0,0.0014056380584483,0.0,0.3782135507267027,0.0001466587132465,0.0,0.001100244792156,0.0076444922666477,9.099340464724587e-05,0.000736769874388,0.0,4.2203078761727686e-05,0.0004242531584513,0.019593258328633824
psppipla,0.0,0.0,0.0,7.80615793807958e-05,3.3059797859888776e-05,0.0001238016125834,0.0023400694983513,1.13859678998951e-06,5.466690606870296e-05,0.0013462189601791,0.0,7.473763146038787e-07,5.82736982022744e-05,0.0012895163160354,0.0,0.0001143656980883,1.4288921796240014e-05,5.254737456963827e-06,4.602879323129206e-05,0.0001540490172495,0.0006961687881326,4.551343758821701e-05,0.0002355283607106,0.0,0.0003224922225287,8.696239740650634e-05,0.0,0.0001857105099595,0.0,0.0011544099864068,0.0009818745565264,0.0013132457303915,2.9532052511593856e-07,7.874435740746671e-06,9.975833697154616e-05,0.0008273836906167,2.6576503675344384e-05,0.0,0.000168433605332,1.9200170486166625e-07,0.0001400983035658,0.0003055861806507,0.0,0.0006364687137396,0.0001101248992227,6.470523624786506e-06,0.000549725269974,0.0002117862465316,1.6872390419804637e-05,0.0017350914313507,0.0012725842249385,0.005163026299792,0.0005467585796089,0.0001317243556159,3.228502389462928e-08,2.209557526325956e-06,1.0990438063269244e-05,0.0,0.001223649222085,0.0,2.3368751234761847e-05,0.0,0.0003812176723641,0.0,3.807408528378528e-05,1.2878888334114682e-05,0.0,0.0007597327068747,0.0007360005973742,8.533158153176481e-05,9.503690142963787e-06,0.0,6.178800116435575e-05,2.3137433788740116e-05,0.0003514350503193495
