,Feature,basinc,bennent,bnlwinc,ccgdbd,ccrdprs,chldhhe,crpdwk,edulvlfb,edulvlmb,edulvlpb,eduunmp,eiscedf,eiscedm,eiscedp,elgbio,elgcoal,elghydr,elgngas,elgnuc,emplrel,emprelp,estsz,eudcnbf,euftf,eusclbf,gndr2,gndr3,gvsrdcc,hinctnta,iccohbt,icomdnp,icppdwk,icwhct,iorgact,isco08,isco08p,jbspv,lbenent,lklmten,lknemny,lkredcc,lrscale,lvgptnea,marsts,nacer2,netustm,occf14b,occm14b,ownrdcc,pdjobev,pdjobyr,prtdgcl,rfgbfml,rfgfrpc,rlgblge,rlgdnm,rshipa2,rshipa3,rshpsts,sbbsntx,tporgwk,trstep,trstun,uemplwk,vteurmmb,wkdcorga,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctra,wrkprbf,yrbrn2,yrbrn3
0,cntry,0.0039520036711231,0.0015497238968239,0.0015411345291353,0.0010776753890723,0.0013407672549525,0.0184884562478431,0.0140705066558554,9.976351417240932e-05,0.0023368234362193,0.0763427311316635,0.0024752922901009,0.0001276576363173,0.0023305314026565,0.0762983632039532,0.0034182816861985,0.0028564087852828,0.0020437102452921,0.0046051839719755,0.0034914034556531,0.0045151572100959,0.0444866153932426,0.0008280528476963,0.0080666578454293,0.0035473814949718,0.0056470348661905,0.0168971740156309,0.0140676986831502,0.0012219331520187,0.0053121376545177,0.0760792411065672,0.076300180380258,0.0765714273212358,0.0002835166523728,0.0001794381895947,0.002760368413583,0.0411377390249203,0.000237022955868,0.0018551353223222,0.0010910706149939,0.0047273290642056,0.0014607340769529,0.0020329661722679,0.0006268604613358,0.0622650187295932,0.0004215112912648,0.0080167497820975,0.0057357159049959,0.0032094675481596,0.0007066298950877,0.0141625064224285,0.019738547721113,0.0088427443317909,0.0015524763686165,0.0023908106410864,0.0012855523777755,0.0015666204093776,0.0215511728146992,0.0131958930380733,0.0812723892113218,0.0020712741797766,0.0002469120004435,0.001763580711295,0.0019228404106086,0.0021021219081293,0.0033542644482814,0.0002030915504456,0.0052986964393485,0.0027335596474127,0.0361455639881676,0.0019447795733677,0.0009432963237557,0.001806856258377,0.0260827937288192,0.017808430599479
1,pspwght,0.0020502618877008,0.0016141874444621,0.0015090722687724,0.0016158652838782,0.002446907557845,0.0119547725578781,0.0086810533098342,4.784969472843743e-05,0.009099707298389,0.0148642253439458,0.0024451810389142,3.085384085743966e-05,0.0090944585398312,0.0149959755993564,0.0033246834946939,0.0014706016070257,0.0012107920705206,0.0016780709616672,0.0021507675857532,0.0058664100937611,0.0392560123126491,0.0013074291605379,0.0161437771919876,0.003092555190707,0.0082978601618706,0.0010447409950537,0.0018125338747233,0.0012213222039861,0.0026362097033561,0.0133389576061116,0.0124221082456451,0.0128468162903883,0.0001537608662653,0.0002494205451151,0.0010436906836278,0.0373835728734547,0.0001296816093265,0.0011902113031761,0.0016843656332552,0.0095561995050929,0.0019585311393258,0.0056144884881177,0.0003131525863248,0.017871239146014,0.0007686580557911,0.0031188389761079,0.0064738610387669,0.0268687131736592,0.0016069400017944,0.0104094964045142,0.0051575907948089,0.0367088888805052,0.0068368458202477,0.0065367033922612,0.0003593796669655,0.0007675487478559,0.0012840634738698,0.0019785584260816,0.013958377268167,0.0038181495702742,0.0004881974863924,0.0037196179743135,0.0049765980202214,0.0015647288832632,0.0160431394666952,0.0001154013210857,0.0105471782825439,0.0026758385766502,0.0368161528429276,0.0008848920231233,0.000306603857046,0.0014614049954229,0.0020111173370511,0.0023029346132038
2,anweight,0.0044090958971293,0.003675888878219,0.0021008494861894,0.0016270440153542,0.0012217038806684,0.0090589552280508,0.0314051883933433,0.0013517427949278,0.0035590900070298,0.0412477388241356,0.0072186255938886,0.0014104591610923,0.0035495577962555,0.0412182225821277,0.0028116721648643,0.0019222470153908,0.0013133357190603,0.0040368850010988,0.0025376905458717,0.0096404834035732,0.0235457039460075,0.0018518878450575,0.0073050020350834,0.0065321099091151,0.0047903249993819,0.01483630699344,0.0026184397926993,0.0013644402644009,0.0036369996835407,0.0399903616018947,0.0413256121345257,0.040679272495221,0.0011518286452084,0.0009769908984257,0.002063121382891,0.0219389171470348,0.0011322591581546,0.0021668275176141,0.0012611474653104,0.0016953922657433,0.0013273517797661,0.0079926583672001,0.0021182284108,0.0127824061390307,0.0016216128485499,0.0019897737112991,0.0045146258537461,0.0082028271675639,0.0011155551463356,0.0289295992247897,0.0204277749107919,0.0310225229055378,0.0065228097965634,0.004205950589946,0.0094671204566165,0.0054615731616493,0.0157413029553322,0.0026791455749112,0.0149468008859676,0.0026585987259374,0.0014626612449278,0.0048565889483586,0.0050494140093496,0.0032587776739459,0.0054363495178298,0.0011292103686247,0.0056731451115661,0.0033629825171594,0.0215814755795193,0.0015321274121588,0.0018021286843209,0.0014336664621534,0.014201035244781,0.0013989334085266
3,nwspol,0.0035701764986091,0.0020654348036215,0.00141854416469,0.0008506971003787,0.0010895268922143,0.0253033120683866,0.0080624073682721,0.0001190999478302,0.0017335554645504,0.0582017526787792,0.0039546501242528,0.0001024987349324,0.0017243600545281,0.05832039733213,0.0016980205310372,0.0009566110950438,0.0005338461365834,0.0017734716445177,0.0012548246306795,0.0049983806379395,0.0171980329421756,0.0004147297449584,0.0045594117156609,,0.0039451338548594,0.0004041155804172,0.0010294016736984,0.0010516947840228,0.0024727087380032,0.0552006645700048,0.056515090062474,0.0553873358131653,0.0001229554345241,9.94450226614036e-05,0.0010053696939031,0.0170403561796431,0.0001324922514248,0.0010461166537363,0.0011503313767954,0.0012014328722204,0.0009583557285875,0.0023682313343161,0.0004201683070714,0.030553252469557,0.0002961291480673,0.0250926463003383,0.0025940235560059,0.01348086683744,0.0009134516984207,0.008930373996792,0.0097331203707131,0.003501829760935,0.0014935711118555,0.0014809843617583,0.0017198964042075,0.0019992253044283,0.000992192145488,0.0008527214520314,0.0333929401099952,0.0025424369446839,0.0002443539157839,0.0016049951571805,,0.0022788684651788,0.0041546450392325,8.81673726783658e-05,0.0034016672275681,0.0015397272676428,0.0139895184848147,0.0010582141466092,0.0002196132851647,0.0019840410533909,0.0007888496192303,0.0014327337078881
4,netusoft,0.0044925225394003,,,0.0006033568475881,0.0011921675723868,0.0505269377538552,0.2114050287650114,0.0001840492668873,0.0034206964717765,,0.002704236408206,0.0002082308001987,0.0034294981137343,,0.0025385271945576,0.0011687213176472,0.001007213713412,0.0024456657594579,0.0010427554204169,,0.1153645145261245,,0.0093373966013333,0.005599523992717,0.0077797388963413,,0.0220389858576661,0.0008296994453101,,,,,,0.0011244086313537,,0.1162088610343551,,0.0027833338258277,0.0013894302920994,0.0018597581816693,0.0007335259843752,0.0046198010315872,0.0007089212265047,0.1036362050884181,,0.0169322287525669,0.0053693332522778,0.086961499867838,0.0009840929516353,0.2147829802964914,0.2008993978682532,0.076895051130711,0.0030540852452546,0.0040354775426077,0.0029671334234432,0.0035086762206348,,0.0204041826650409,,0.0041961806194819,,,0.0032622121356374,0.0045022940055109,0.0050254896547298,,,,0.1109814273061575,,,0.0013384989732035,0.0085592569793816,0.0300236613620481
5,netustm,0.0065766655708842,0.0035705700029758,0.0028011414625253,0.0005650284914824,0.0012926409946711,0.0304871266111165,0.0521409121422825,0.0008816935766278,0.0023417780068596,0.0164492738542388,0.0026388000504948,0.0009162185703589,0.0023804475043809,0.0168844312652229,0.002332467480892,0.0018171098899847,0.0018357488429831,0.0053717317469594,0.0020681663807987,0.0233474179337351,0.07791058646002,0.0028877338992653,0.0055313770552406,0.0051993209904937,0.0044486258501058,0.009882387532627,0.0029110277303263,0.001992650552767,0.0024190994050775,0.0193020756476798,0.0171416645877592,0.0181049832986304,0.0049077111559176,0.0040947733599267,0.0044234684087902,0.072308780013777,0.0044103386510391,0.0018285357256928,0.0017558130407279,0.001831110210367,0.0019625528618124,0.0081240887330944,0.0008513313263849,0.0215906886602961,0.0034384741382089,,0.0047330981085058,0.04999647465931,0.0011153995087171,0.0523067247536915,0.0520611877325038,0.0371526234950202,0.0034647235318873,0.0029261838791416,0.0014790348256915,0.0016046715492217,0.0111177752823414,0.0028798150829985,0.026769125437757,0.0051370180352395,0.0037323293248149,0.0029315353973776,0.0034215616643459,0.0016950558056386,0.002444413937163,0.0040796119002822,0.0158563137097373,0.0068155303225236,0.0705714221819162,0.0059599736704413,0.0047646541482819,0.0023504032035337,0.012339337797939,0.0043007204114909
6,ppltrst,0.0024374234331124,0.0014355283133431,0.0021385183728622,0.0016663246234376,0.0013541744974021,0.0131861873342656,0.0197474669736186,0.0001464091279354,0.0031167280554725,0.0265804409852871,0.0025263599282572,0.0001715329858842,0.0030887981687396,0.0267849133814523,0.0010708715552941,0.0012531995465247,0.0010080299726348,0.0028882205452549,0.0015138707564661,0.008781000788847,0.0202357054479432,0.0011368199676003,0.0093652972125056,0.0045856506943539,0.00664011833095,0.001290769506037,0.0024928482146023,0.0012840935811191,0.0044828290943979,0.0260983555247378,0.0250105280566897,0.0259855198809409,0.0005639552112256,0.0006721908438943,0.001860406339035,0.0198995019904741,0.0004683551380445,0.0025206461498807,0.0019208123747174,0.002885328462423,0.001537582586901,0.0034155627380311,0.0004466396599517,0.0301393209599703,0.0009374194140402,0.0060409530753455,0.005315332134388,0.0075120593083024,0.0012233044140007,0.0165102436291046,0.0094233729922827,0.0079824104789875,0.0017263579639029,0.0026743056517736,0.0010518366892953,0.0007956391958926,0.0017312896710701,0.0024767540143691,0.028675352963264,0.0037650045652046,0.0006829509128386,0.0026824391474105,0.0014011197973001,0.0011544463186714,0.0078695748572018,0.000499929696364,0.0106092724530895,0.0033777610154861,0.0171190429899371,0.0020728587671869,0.0005806650273562,0.0019290438778396,0.001717880230275,0.0033296702445997
7,pplhlp,0.002993751420579,0.0017554242271506,0.0017781583756167,0.0010166577905514,0.0019703543064548,0.011330017140789,,0.0004688717513818,0.0018397951054075,0.016841810476075,0.00383172371852,0.0004886773275189,0.001807214265956,0.0170082574728396,0.0015784022830091,0.0014321325227706,0.0010933014089873,,0.0018702516016714,0.0016543764233889,0.0206070588283364,0.0006410143194869,0.0054807389319021,0.0052457115206546,0.0026665042841181,0.0022521373871272,0.0018465276149745,0.0014131567913256,0.0036356192942644,0.0176472347242884,0.0152117256349705,0.0172010650744727,0.0011051878417619,0.0009667998748867,0.0020018092043059,0.0193616399958471,0.0010276678361997,0.0021710431829446,0.00144508584794,0.0017862097136955,0.0010111771383026,0.0034379829349027,0.0047635738746796,0.0207738721589075,0.0008502463814963,0.0113513967596603,0.0048220117585641,0.0066070240763292,0.0012869914913697,0.0152579507545315,0.0065197662386637,0.0115805248802737,0.0025656169101808,,0.0049192938722369,0.0022741801061501,0.0021478784394219,0.0017856182705502,0.0179715882748868,0.0022295907490206,0.0008542045788274,0.0033773786750838,0.0021853162045288,0.0026296883576223,0.0023075993233529,0.0009692596437058,0.0039586238191805,0.0030779292464661,0.0084926239531287,0.0020901650234633,0.0014275285803848,0.0018369037217105,0.0016982859414734,0.0025799460539787
8,psppsgva,0.0005375624736579,0.0007217531104436,3.6933927112288464e-05,0.0005940969194464,0.0003677901919666,0.0008444232171544,0.000373294959183,0.0,0.0004834443676101,0.0002986651419088,0.0014543244435877,0.0,0.0004470095625702,0.0001918631359553,0.000855237713799,0.0004272664882846,0.0003331859024718,5.037155744292629e-05,0.0009658169102169,0.0012974714719914,0.0004279069793381,0.000604220946697,0.1839776489055921,0.0035736979266194,0.188592051324698,8.726381629947258e-05,0.0004412920892213,0.0003316610973876,0.0071423254166457,0.0001634169793175,0.0004647508224989,0.0001969388698417,0.0,7.741198875982607e-05,8.541112743023998e-05,0.0003415918179737,2.4040323865599808e-05,0.0001593084613035,0.0006183965108149,0.0984113043130711,0.0003878015834755,0.0083465975635329,0.0,0.0009148174958217,0.0001237613734417,0.0007515699394076,0.0007890691368517,0.0094795899152402,0.0006481319406342,0.0003832627230812,0.0003403415093451,0.0068985819828583,0.041720691974453,0.0300472657342418,0.0018588053763246,0.0023495436190067,0.0001463867788229,0.0002625261340927,0.000209934197937,0.0003973436924294,9.889706738957446e-05,0.0027805191120634,0.0008455754064542,0.0011986525633395,0.3330229737765586,3.455566762274182e-05,8.155767601484128e-07,1.346272250052746e-06,0.0031777557821936,0.0001398906965965,1.0175236614774664e-05,0.0006164697421291,8.521379658086283e-05,0.0004497395967658
9,psppipla,6.244214006507642e-05,5.060158779136538e-07,5.999858988883592e-06,3.1194491896924246e-06,8.958932744439108e-07,4.436559027506472e-05,7.647403110335114e-05,0.0,1.3315413651342595e-05,0.0003405068792931,7.021611090321189e-06,0.0,8.152956951046045e-06,0.0001151327077877,2.38843910061598e-07,0.0001399038700921,2.3577129568046594e-07,8.512499068511471e-06,2.280740652679926e-06,0.0001008466076416,0.0003838097620523,3.5401812421469767e-06,0.0001486660239708,4.116104674042357e-05,0.0002400756986356,4.234386292143891e-05,6.0254480743920925e-05,4.875725456306801e-06,9.938084170572996e-05,0.0003462750331227,0.0001436656944812,0.0002074713069602,0.0,0.0,2.4589256886168548e-05,0.0004291066966922,0.0,3.901358544505832e-06,1.6167196238855514e-05,0.0,2.0670329733885443e-05,0.0004450700706695,0.0,0.0001491174890657,0.0,0.000104558104898,3.94762569912762e-05,2.427356523390829e-05,9.181960687914596e-06,0.0002057255670011,2.098519327771085e-05,0.0009300274455047,3.446378991344542e-05,8.628055136972216e-05,1.7617701247529816e-06,5.937102903587541e-06,0.0001597160585711,6.71268636480149e-05,0.0002322365227013,8.255472934263644e-05,3.685861939748839e-06,5.750076727054869e-06,6.184873566413655e-05,1.6074456227100158e-05,4.189757844365594e-05,0.0,,,,8.058205147944073e-05,0.0,2.3852434108015208e-06,3.443402181927283e-05,6.783362358491514e-05
