,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
63,0,1,,,,,,,,,,,,,
69,2,3,244.0,,,,,,,,,,,,
36,4,11,,,,,,,,,,,,,
35,5,63,83.0,169.0,176.0,217.0,,,,,,,,,
4,6,13,162.0,184.0,209.0,210.0,221.0,241.0,,,,,,,
5,7,177,178.0,,,,,,,,,,,,
27,8,9,,,,,,,,,,,,,
28,10,64,159.0,,,,,,,,,,,,
68,12,92,242.0,243.0,,,,,,,,,,,
59,14,15,,,,,,,,,,,,,
46,16,46,133.0,156.0,,,,,,,,,,,
56,17,18,40.0,52.0,99.0,100.0,104.0,129.0,,,,,,,
9,19,20,21.0,,,,,,,,,,,,
60,22,23,42.0,45.0,132.0,,,,,,,,,,
44,24,27,28.0,43.0,44.0,,,,,,,,,,
58,25,26,,,,,,,,,,,,,
64,29,164,180.0,,,,,,,,,,,,
7,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,
8,38,39,,,,,,,,,,,,,
22,41,59,61.0,211.0,212.0,,,,,,,,,,
37,47,56,220.0,,,,,,,,,,,,
10,48,49,50.0,51.0,,,,,,,,,,,
55,53,144,,,,,,,,,,,,,
11,54,55,57.0,58.0,97.0,,,,,,,,,,
54,60,62,,,,,,,,,,,,,
21,65,66,183.0,,,,,,,,,,,,
45,67,68,,,,,,,,,,,,,
66,69,70,71.0,72.0,73.0,74.0,,,,,,,,,
17,75,81,82.0,84.0,85.0,88.0,,,,,,,,,
16,76,77,78.0,79.0,80.0,93.0,,,,,,,,,
42,86,148,,,,,,,,,,,,,
41,87,226,,,,,,,,,,,,,
32,89,190,,,,,,,,,,,,,
61,90,91,94.0,95.0,,,,,,,,,,,
51,96,98,,,,,,,,,,,,,
15,101,112,120.0,127.0,128.0,,,,,,,,,,
13,102,103,105.0,,,,,,,,,,,,
12,106,107,108.0,,,,,,,,,,,,
20,109,113,114.0,115.0,116.0,,,,,,,,,,
19,110,111,,,,,,,,,,,,,
14,117,118,119.0,122.0,123.0,,,,,,,,,,
43,121,124,125.0,126.0,,,,,,,,,,,
52,130,131,137.0,247.0,,,,,,,,,,,
57,134,135,136.0,,,,,,,,,,,,
48,138,141,142.0,143.0,145.0,,,,,,,,,,
49,139,140,,,,,,,,,,,,,
47,146,147,,,,,,,,,,,,,
50,149,150,151.0,152.0,,,,,,,,,,,
53,153,154,157.0,,,,,,,,,,,,
3,155,179,192.0,193.0,194.0,195.0,196.0,,,,,,,,
2,158,160,163.0,165.0,167.0,170.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
62,161,166,174.0,175.0,,,,,,,,,,,
1,168,171,172.0,173.0,,,,,,,,,,,
30,181,208,218.0,,,,,,,,,,,,
40,182,219,,,,,,,,,,,,,
39,185,222,,,,,,,,,,,,,
26,186,191,223.0,,,,,,,,,,,,
38,187,224,,,,,,,,,,,,,
31,188,228,,,,,,,,,,,,,
34,189,227,,,,,,,,,,,,,
65,197,198,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,
6,233,234,237.0,238.0,239.0,240.0,,,,,,,,,
33,235,236,,,,,,,,,,,,,
23,245,250,254.0,259.0,265.0,,,,,,,,,,
25,246,248,257.0,,,,,,,,,,,,
18,249,251,253.0,258.0,260.0,261.0,263.0,264.0,,,,,,,
24,252,255,256.0,262.0,,,,,,,,,,,
29,266,269,,,,,,,,,,,,,
67,267,268,270.0,271.0,,,,,,,,,,,
