,0,1,2,3,4,5,6,7,8,9,10
68,0,1.0,,,,,,,,,
67,2,3.0,,,,,,,,,
54,4,11.0,220.0,,,,,,,,
53,5,60.0,83.0,,,,,,,,
5,6,13.0,162.0,163.0,185.0,209.0,210.0,221.0,241.0,,
8,7,178.0,179.0,,,,,,,,
64,8,9.0,,,,,,,,,
51,10,217.0,,,,,,,,,
7,12,92.0,242.0,243.0,244.0,,,,,,
14,14,15.0,16.0,,,,,,,,
50,17,96.0,,,,,,,,,
34,18,19.0,20.0,21.0,,,,,,,
12,22,23.0,24.0,25.0,26.0,27.0,28.0,42.0,43.0,44.0,52.0
66,29,173.0,174.0,181.0,198.0,,,,,,
32,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,
33,38,39.0,,,,,,,,,
18,40,132.0,156.0,211.0,212.0,,,,,,
19,41,59.0,61.0,62.0,,,,,,,
15,45,46.0,,,,,,,,,
20,47,130.0,131.0,,,,,,,,
29,48,49.0,50.0,51.0,,,,,,,
31,53,54.0,55.0,56.0,57.0,58.0,144.0,,,,
52,63,218.0,,,,,,,,,
61,64,157.0,177.0,,,,,,,,
17,65,66.0,184.0,,,,,,,,
16,67,68.0,99.0,100.0,133.0,137.0,,,,,
6,69,70.0,71.0,72.0,73.0,74.0,,,,,
41,75,81.0,82.0,84.0,85.0,88.0,,,,,
40,76,77.0,78.0,79.0,80.0,93.0,,,,,
57,86,,,,,,,,,,
56,87,148.0,226.0,,,,,,,,
59,89,191.0,,,,,,,,,
42,90,91.0,94.0,95.0,,,,,,,
30,97,98.0,,,,,,,,,
28,101,117.0,118.0,119.0,120.0,121.0,122.0,123.0,126.0,,
26,102,103.0,105.0,,,,,,,,
24,104,106.0,107.0,108.0,,,,,,,
11,109,110.0,111.0,113.0,114.0,115.0,116.0,,,,
62,112,138.0,141.0,142.0,150.0,154.0,,,,,
27,124,125.0,,,,,,,,,
25,127,128.0,129.0,,,,,,,,
21,134,135.0,136.0,,,,,,,,
60,139,140.0,,,,,,,,,
13,143,145.0,146.0,147.0,,,,,,,
23,149,151.0,152.0,153.0,,,,,,,
4,155,180.0,193.0,194.0,195.0,196.0,,,,,
1,158,161.0,164.0,166.0,175.0,176.0,,,,,
65,159,160.0,223.0,,,,,,,,
2,165,167.0,168.0,171.0,172.0,213.0,225.0,229.0,,,
46,169,170.0,,,,,,,,,
45,182,208.0,,,,,,,,,
55,183,219.0,,,,,,,,,
49,186,222.0,,,,,,,,,
63,187,192.0,,,,,,,,,
48,188,224.0,,,,,,,,,
58,189,228.0,,,,,,,,,
47,190,227.0,,,,,,,,,
35,197,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,
3,214,215.0,216.0,230.0,231.0,232.0,,,,,
10,233,234.0,237.0,238.0,239.0,240.0,,,,,
9,235,236.0,,,,,,,,,
38,245,250.0,252.0,255.0,262.0,,,,,,
39,246,248.0,254.0,257.0,259.0,265.0,,,,,
37,247,256.0,261.0,,,,,,,,
36,249,251.0,253.0,258.0,260.0,263.0,264.0,,,,
43,266,269.0,,,,,,,,,
44,267,270.0,,,,,,,,,
22,268,271.0,,,,,,,,,
