,0,1,2,3,4,5,6,7,8,9,10,11
40,0,1,,,,,,,,,,
39,2,3,,,,,,,,,,
65,4,29,181.0,,,,,,,,,
23,5,10,83.0,217.0,,,,,,,,
5,6,13,162.0,163.0,185.0,209.0,210.0,221.0,241.0,,,
8,7,178,179.0,,,,,,,,,
42,8,9,,,,,,,,,,
28,11,220,,,,,,,,,,
7,12,92,157.0,242.0,243.0,244.0,,,,,,
46,14,15,16.0,,,,,,,,,
37,17,96,,,,,,,,,,
66,18,19,20.0,21.0,,,,,,,,
48,22,23,28.0,40.0,42.0,43.0,44.0,132.0,,,,
47,24,27,,,,,,,,,,
45,25,26,52.0,67.0,68.0,,,,,,,
67,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,
64,38,39,,,,,,,,,,
50,41,59,156.0,211.0,212.0,,,,,,,
35,45,46,,,,,,,,,,
51,47,130,131.0,,,,,,,,,
62,48,49,50.0,51.0,,,,,,,,
63,53,54,55.0,56.0,57.0,58.0,97.0,98.0,144.0,,,
36,60,61,62.0,100.0,,,,,,,,
22,63,64,177.0,,,,,,,,,
49,65,66,184.0,,,,,,,,,
6,69,70,71.0,72.0,73.0,74.0,,,,,,
12,75,81,82.0,84.0,85.0,88.0,,,,,,
11,76,77,78.0,79.0,80.0,93.0,,,,,,
30,86,148,,,,,,,,,,
29,87,226,,,,,,,,,,
32,89,191,,,,,,,,,,
17,90,91,94.0,95.0,,,,,,,,
38,99,133,137.0,,,,,,,,,
61,101,117,118.0,119.0,120.0,121.0,122.0,123.0,126.0,,,
59,102,103,105.0,,,,,,,,,
56,104,106,107.0,108.0,,,,,,,,
44,109,110,111.0,113.0,114.0,115.0,116.0,,,,,
57,112,138,141.0,154.0,,,,,,,,
60,124,125,,,,,,,,,,
58,127,128,129.0,,,,,,,,,
52,134,135,136.0,142.0,150.0,,,,,,,
34,139,140,,,,,,,,,,
33,143,145,146.0,147.0,,,,,,,,
54,149,151,152.0,153.0,,,,,,,,
4,155,180,193.0,194.0,195.0,196.0,,,,,,
1,158,161,164.0,166.0,175.0,176.0,,,,,,
43,159,160,223.0,,,,,,,,,
3,165,167,168.0,171.0,172.0,173.0,174.0,213.0,214.0,215.0,225.0,229.0
21,169,170,,,,,,,,,,
20,182,208,218.0,,,,,,,,,
27,183,219,,,,,,,,,,
25,186,222,,,,,,,,,,
41,187,192,,,,,,,,,,
26,188,224,,,,,,,,,,
31,189,228,,,,,,,,,,
24,190,227,,,,,,,,,,
55,197,198,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,
2,216,230,231.0,232.0,,,,,,,,
10,233,234,237.0,238.0,239.0,240.0,,,,,,
9,235,236,,,,,,,,,,
14,245,252,255.0,262.0,,,,,,,,
16,246,248,257.0,261.0,,,,,,,,
13,247,249,251.0,253.0,256.0,258.0,260.0,263.0,264.0,,,
15,250,254,259.0,265.0,,,,,,,,
18,266,269,,,,,,,,,,
19,267,270,,,,,,,,,,
53,268,271,,,,,,,,,,
