,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
51,0,1,,,,,,,,,,,,,,
54,2,3,244.0,,,,,,,,,,,,,
31,4,29,209.0,,,,,,,,,,,,,
67,5,83,217.0,,,,,,,,,,,,,
5,6,13,161.0,184.0,196.0,221.0,,,,,,,,,,
6,7,177,178.0,,,,,,,,,,,,,
56,8,9,,,,,,,,,,,,,,
57,10,158,159.0,,,,,,,,,,,,,
69,11,160,220.0,,,,,,,,,,,,,
39,12,92,242.0,243.0,,,,,,,,,,,,
10,14,15,16.0,,,,,,,,,,,,,
29,17,18,19.0,20.0,21.0,,,,,,,,,,,
11,22,23,24.0,27.0,28.0,42.0,43.0,44.0,,,,,,,,
23,25,26,52.0,68.0,,,,,,,,,,,,
28,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,
30,38,39,,,,,,,,,,,,,,
24,40,67,99.0,100.0,143.0,,,,,,,,,,,
15,41,59,,,,,,,,,,,,,,
12,45,46,132.0,133.0,,,,,,,,,,,,
26,47,129,130.0,,,,,,,,,,,,,
32,48,49,50.0,51.0,,,,,,,,,,,,
34,53,54,55.0,56.0,57.0,58.0,,,,,,,,,,
14,60,61,62.0,,,,,,,,,,,,,
66,63,218,,,,,,,,,,,,,,
16,64,131,155.0,211.0,212.0,241.0,,,,,,,,,,
13,65,66,183.0,,,,,,,,,,,,,
42,69,70,71.0,72.0,73.0,74.0,,,,,,,,,,
44,75,81,82.0,84.0,85.0,88.0,,,,,,,,,,
43,76,77,78.0,79.0,80.0,93.0,,,,,,,,,,
65,86,147,,,,,,,,,,,,,,
64,87,226,,,,,,,,,,,,,,
71,89,190,,,,,,,,,,,,,,
41,90,91,94.0,95.0,,,,,,,,,,,,
33,96,97,98.0,,,,,,,,,,,,,
35,101,119,121.0,122.0,123.0,124.0,125.0,,,,,,,,,
20,102,104,107.0,,,,,,,,,,,,,
48,103,105,106.0,,,,,,,,,,,,,
17,108,109,112.0,113.0,114.0,115.0,,,,,,,,,,
36,110,111,,,,,,,,,,,,,,
37,116,117,118.0,120.0,,,,,,,,,,,,
38,126,127,128.0,,,,,,,,,,,,,
21,134,135,136.0,,,,,,,,,,,,,
27,137,140,141.0,142.0,,,,,,,,,,,,
22,138,139,,,,,,,,,,,,,,
18,144,145,146.0,,,,,,,,,,,,,
19,148,150,151.0,,,,,,,,,,,,,
68,149,176,,,,,,,,,,,,,,
25,152,153,156.0,,,,,,,,,,,,,
4,154,179,192.0,193.0,194.0,195.0,210.0,,,,,,,,,
1,157,162,164.0,166.0,167.0,170.0,171.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
50,163,165,174.0,175.0,,,,,,,,,,,,
52,168,169,,,,,,,,,,,,,,
53,172,173,180.0,,,,,,,,,,,,,
59,181,208,,,,,,,,,,,,,,
60,182,219,,,,,,,,,,,,,,
63,185,222,,,,,,,,,,,,,,
55,186,191,223.0,,,,,,,,,,,,,
62,187,224,,,,,,,,,,,,,,
70,188,228,,,,,,,,,,,,,,
61,189,227,,,,,,,,,,,,,,
2,197,200,201.0,202.0,,,,,,,,,,,,
3,198,199,203.0,204.0,205.0,206.0,207.0,,,,,,,,,
7,233,234,237.0,238.0,,,,,,,,,,,,
9,235,236,,,,,,,,,,,,,,
8,239,240,,,,,,,,,,,,,,
49,245,247,252.0,255.0,256.0,262.0,263.0,,,,,,,,,
47,246,248,257.0,,,,,,,,,,,,,
45,249,251,253.0,258.0,260.0,261.0,264.0,,,,,,,,,
46,250,254,259.0,265.0,,,,,,,,,,,,
58,266,269,,,,,,,,,,,,,,
40,267,268,270.0,271.0,,,,,,,,,,,,
