,0,1,2,3,4,5,6,7,8,9,10,11,12,13
47,0,1.0,,,,,,,,,,,,
46,2,3.0,,,,,,,,,,,,
77,4,6.0,158.0,161.0,163.0,185.0,221.0,,,,,,,
55,5,13.0,60.0,,,,,,,,,,,
3,7,178.0,179.0,,,,,,,,,,,
45,8,9.0,,,,,,,,,,,,
67,10,217.0,,,,,,,,,,,,
56,11,65.0,66.0,,,,,,,,,,,
11,12,70.0,92.0,242.0,243.0,268.0,271.0,,,,,,,
5,14,15.0,16.0,,,,,,,,,,,
4,17,18.0,19.0,20.0,21.0,,,,,,,,,
48,22,23.0,,,,,,,,,,,,
49,24,27.0,28.0,42.0,43.0,,,,,,,,,
50,25,26.0,,,,,,,,,,,,
2,29,67.0,209.0,,,,,,,,,,,
7,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
1,38,39.0,40.0,,,,,,,,,,,
59,41,59.0,,,,,,,,,,,,
61,44,68.0,133.0,,,,,,,,,,,
51,45,46.0,,,,,,,,,,,,
31,47,130.0,131.0,140.0,,,,,,,,,,
9,48,49.0,50.0,51.0,,,,,,,,,,
39,52,96.0,157.0,,,,,,,,,,,
28,53,54.0,55.0,,,,,,,,,,,
8,56,57.0,58.0,,,,,,,,,,,
6,61,64.0,132.0,156.0,211.0,212.0,241.0,,,,,,,
68,62,63.0,83.0,177.0,,,,,,,,,,
10,69,71.0,72.0,73.0,74.0,,,,,,,,,
14,75,81.0,82.0,85.0,88.0,,,,,,,,,
13,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,
54,84,184.0,220.0,,,,,,,,,,,
66,86,,,,,,,,,,,,,
65,87,148.0,226.0,,,,,,,,,,,
70,89,191.0,,,,,,,,,,,,
12,90,91.0,94.0,95.0,,,,,,,,,,
38,97,98.0,,,,,,,,,,,,
25,99,100.0,101.0,,,,,,,,,,,
23,102,103.0,104.0,105.0,108.0,,,,,,,,,
32,106,107.0,,,,,,,,,,,,
27,109,113.0,114.0,115.0,116.0,,,,,,,,,
22,110,111.0,112.0,,,,,,,,,,,
24,117,118.0,120.0,121.0,,,,,,,,,,
35,119,122.0,,,,,,,,,,,,
21,123,124.0,125.0,126.0,,,,,,,,,,
26,127,128.0,129.0,,,,,,,,,,,
36,134,136.0,144.0,,,,,,,,,,,
60,135,137.0,,,,,,,,,,,,
30,138,139.0,141.0,,,,,,,,,,,
33,142,143.0,,,,,,,,,,,,
29,145,146.0,147.0,,,,,,,,,,,
37,149,150.0,151.0,152.0,,,,,,,,,,
34,153,154.0,244.0,,,,,,,,,,,
76,155,180.0,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,
44,159,160.0,,,,,,,,,,,,
74,162,169.0,181.0,,,,,,,,,,,
73,164,166.0,175.0,176.0,,,,,,,,,,
71,165,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
72,170,173.0,174.0,,,,,,,,,,,
58,182,208.0,218.0,,,,,,,,,,,
57,183,219.0,,,,,,,,,,,,
64,186,222.0,,,,,,,,,,,,
43,187,192.0,223.0,,,,,,,,,,,
63,188,224.0,,,,,,,,,,,,
69,189,228.0,,,,,,,,,,,,
62,190,227.0,,,,,,,,,,,,
75,198,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,
40,233,234.0,237.0,238.0,,,,,,,,,,
42,235,236.0,,,,,,,,,,,,
41,239,240.0,,,,,,,,,,,,
19,245,255.0,,,,,,,,,,,,
15,246,248.0,257.0,261.0,,,,,,,,,,
20,247,252.0,256.0,262.0,263.0,,,,,,,,,
17,249,253.0,258.0,,,,,,,,,,,
16,250,254.0,259.0,265.0,,,,,,,,,,
18,251,260.0,264.0,,,,,,,,,,,
52,266,269.0,,,,,,,,,,,,
53,267,270.0,,,,,,,,,,,,
