,0,1,2,3,4,5,6,7,8,9,10,11,12,13
66,0,1,,,,,,,,,,,,
37,2,3,244.0,,,,,,,,,,,
71,4,6,184.0,210.0,221.0,,,,,,,,,
13,5,176,217.0,,,,,,,,,,,
31,7,13,168.0,241.0,,,,,,,,,,
4,8,9,,,,,,,,,,,,
6,10,158,223.0,,,,,,,,,,,
15,11,160,219.0,220.0,,,,,,,,,,
38,12,92,242.0,243.0,,,,,,,,,,
45,14,15,16.0,,,,,,,,,,,
26,17,19,20.0,21.0,,,,,,,,,,
53,18,40,131.0,132.0,144.0,146.0,149.0,,,,,,,
46,22,23,24.0,27.0,28.0,,,,,,,,,
42,25,26,52.0,67.0,68.0,,,,,,,,,
64,29,161,180.0,209.0,,,,,,,,,,
24,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
25,38,39,,,,,,,,,,,,
44,41,59,155.0,211.0,212.0,,,,,,,,,
43,42,45,46.0,133.0,134.0,,,,,,,,,
9,43,44,,,,,,,,,,,,
14,47,63,130.0,,,,,,,,,,,
30,48,49,50.0,51.0,,,,,,,,,,
48,53,54,55.0,,,,,,,,,,,
41,56,57,58.0,,,,,,,,,,,
29,60,61,62.0,,,,,,,,,,,
17,64,86,147.0,218.0,,,,,,,,,,
20,65,66,183.0,,,,,,,,,,,
32,69,70,71.0,,,,,,,,,,,
21,72,73,74.0,,,,,,,,,,,
2,75,81,82.0,83.0,84.0,85.0,88.0,,,,,,,
1,76,77,78.0,79.0,80.0,93.0,,,,,,,,
16,87,226,,,,,,,,,,,,
19,89,190,,,,,,,,,,,,
3,90,91,94.0,95.0,,,,,,,,,,
55,96,97,98.0,,,,,,,,,,,
51,99,100,106.0,127.0,128.0,129.0,,,,,,,,
59,101,119,120.0,122.0,123.0,124.0,125.0,126.0,,,,,,
49,102,103,105.0,108.0,,,,,,,,,,
50,104,107,,,,,,,,,,,,
56,109,110,,,,,,,,,,,,
60,111,112,,,,,,,,,,,,
58,113,114,115.0,116.0,,,,,,,,,,
61,117,118,121.0,,,,,,,,,,,
40,135,136,137.0,,,,,,,,,,,
47,138,141,142.0,143.0,145.0,,,,,,,,,
54,139,140,,,,,,,,,,,,
52,148,150,151.0,,,,,,,,,,,
39,152,153,156.0,,,,,,,,,,,
70,154,179,192.0,193.0,194.0,195.0,,,,,,,,
67,157,159,162.0,,,,,,,,,,,
62,163,165,174.0,175.0,,,,,,,,,,
65,164,166,167.0,170.0,171.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
63,169,172,173.0,,,,,,,,,,,
34,177,178,,,,,,,,,,,,
8,181,182,196.0,208.0,,,,,,,,,,
12,185,222,,,,,,,,,,,,
5,186,191,,,,,,,,,,,,
11,187,224,,,,,,,,,,,,
18,188,228,,,,,,,,,,,,
10,189,227,,,,,,,,,,,,
69,197,198,199.0,203.0,204.0,205.0,206.0,207.0,,,,,,
68,200,201,202.0,,,,,,,,,,,
35,233,234,237.0,238.0,,,,,,,,,,
22,235,236,,,,,,,,,,,,
23,239,240,,,,,,,,,,,,
27,245,247,252.0,255.0,256.0,262.0,,,,,,,,
33,246,249,251.0,258.0,260.0,261.0,264.0,,,,,,,
28,248,250,254.0,259.0,265.0,,,,,,,,,
57,253,257,263.0,,,,,,,,,,,
7,266,269,,,,,,,,,,,,
36,267,268,270.0,271.0,,,,,,,,,,
